group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1454778.0,ns,3
simple_insert,bevy,,,,2641134.0,ns,6
simple_insert,bevy,,,,3692496.0,ns,9
simple_insert,bevy,,,,5242612.0,ns,12
simple_insert,bevy,,,,6366736.0,ns,15
simple_insert,bevy,,,,7374149.0,ns,18
simple_insert,bevy,,,,8616714.0,ns,21
simple_insert,bevy,,,,9943231.0,ns,24
simple_insert,bevy,,,,11380497.0,ns,27
simple_insert,bevy,,,,12693114.0,ns,30
simple_insert,bevy,,,,13719193.0,ns,33
simple_insert,bevy,,,,15196754.0,ns,36
simple_insert,bevy,,,,16333881.0,ns,39
simple_insert,bevy,,,,17680350.0,ns,42
simple_insert,bevy,,,,18846629.0,ns,45
simple_insert,bevy,,,,19900361.0,ns,48
simple_insert,bevy,,,,21315641.0,ns,51
simple_insert,bevy,,,,22243500.0,ns,54
simple_insert,bevy,,,,23752038.0,ns,57
simple_insert,bevy,,,,24667458.0,ns,60
simple_insert,bevy,,,,26106770.0,ns,63
simple_insert,bevy,,,,27850041.0,ns,66
simple_insert,bevy,,,,29032378.0,ns,69
simple_insert,bevy,,,,30765452.0,ns,72
simple_insert,bevy,,,,31396732.0,ns,75
simple_insert,bevy,,,,32344689.0,ns,78
simple_insert,bevy,,,,33871428.0,ns,81
simple_insert,bevy,,,,35110827.0,ns,84
simple_insert,bevy,,,,36193155.0,ns,87
simple_insert,bevy,,,,37787427.0,ns,90
simple_insert,bevy,,,,38525180.0,ns,93
simple_insert,bevy,,,,39867543.0,ns,96
simple_insert,bevy,,,,41409126.0,ns,99
simple_insert,bevy,,,,43509090.0,ns,102
simple_insert,bevy,,,,43719614.0,ns,105
simple_insert,bevy,,,,44601622.0,ns,108
simple_insert,bevy,,,,46393680.0,ns,111
simple_insert,bevy,,,,47908372.0,ns,114
simple_insert,bevy,,,,48939154.0,ns,117
simple_insert,bevy,,,,50018241.0,ns,120
simple_insert,bevy,,,,51283486.0,ns,123
simple_insert,bevy,,,,52587932.0,ns,126
simple_insert,bevy,,,,53972445.0,ns,129
simple_insert,bevy,,,,54902654.0,ns,132
simple_insert,bevy,,,,56566816.0,ns,135
simple_insert,bevy,,,,58330249.0,ns,138
simple_insert,bevy,,,,58755831.0,ns,141
simple_insert,bevy,,,,60294452.0,ns,144
simple_insert,bevy,,,,61170924.0,ns,147
simple_insert,bevy,,,,62362480.0,ns,150
simple_insert,bevy,,,,63548316.0,ns,153
simple_insert,bevy,,,,65138225.0,ns,156
simple_insert,bevy,,,,66670495.0,ns,159
simple_insert,bevy,,,,66967038.0,ns,162
simple_insert,bevy,,,,70364283.0,ns,165
simple_insert,bevy,,,,71252618.0,ns,168
simple_insert,bevy,,,,70917000.0,ns,171
simple_insert,bevy,,,,76403252.0,ns,174
simple_insert,bevy,,,,73089403.0,ns,177
simple_insert,bevy,,,,76686851.0,ns,180
simple_insert,bevy,,,,76917668.0,ns,183
simple_insert,bevy,,,,77084262.0,ns,186
simple_insert,bevy,,,,79323165.0,ns,189
simple_insert,bevy,,,,80190338.0,ns,192
simple_insert,bevy,,,,81524096.0,ns,195
simple_insert,bevy,,,,82428291.0,ns,198
simple_insert,bevy,,,,83492006.0,ns,201
simple_insert,bevy,,,,85592210.0,ns,204
simple_insert,bevy,,,,85634987.0,ns,207
simple_insert,bevy,,,,90088810.0,ns,210
simple_insert,bevy,,,,90334555.0,ns,213
simple_insert,bevy,,,,91694188.0,ns,216
simple_insert,bevy,,,,91748869.0,ns,219
simple_insert,bevy,,,,92341014.0,ns,222
simple_insert,bevy,,,,94319617.0,ns,225
simple_insert,bevy,,,,95282365.0,ns,228
simple_insert,bevy,,,,96306865.0,ns,231
simple_insert,bevy,,,,96164526.0,ns,234
simple_insert,bevy,,,,98877193.0,ns,237
simple_insert,bevy,,,,99542327.0,ns,240
simple_insert,bevy,,,,102091973.0,ns,243
simple_insert,bevy,,,,101798825.0,ns,246
simple_insert,bevy,,,,104341223.0,ns,249
simple_insert,bevy,,,,104640357.0,ns,252
simple_insert,bevy,,,,107009580.0,ns,255
simple_insert,bevy,,,,107909928.0,ns,258
simple_insert,bevy,,,,109203751.0,ns,261
simple_insert,bevy,,,,109923642.0,ns,264
simple_insert,bevy,,,,111127934.0,ns,267
simple_insert,bevy,,,,113787003.0,ns,270
simple_insert,bevy,,,,113728824.0,ns,273
simple_insert,bevy,,,,114815619.0,ns,276
simple_insert,bevy,,,,115787317.0,ns,279
simple_insert,bevy,,,,117760169.0,ns,282
simple_insert,bevy,,,,119426012.0,ns,285
simple_insert,bevy,,,,119079144.0,ns,288
simple_insert,bevy,,,,120775544.0,ns,291
simple_insert,bevy,,,,122287578.0,ns,294
simple_insert,bevy,,,,125348298.0,ns,297
simple_insert,bevy,,,,124882160.0,ns,300
