group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1022338.0,ns,2
simple_insert,bevy,,,,2060516.0,ns,4
simple_insert,bevy,,,,3057575.0,ns,6
simple_insert,bevy,,,,4112765.0,ns,8
simple_insert,bevy,,,,5127188.0,ns,10
simple_insert,bevy,,,,6271528.0,ns,12
simple_insert,bevy,,,,7187432.0,ns,14
simple_insert,bevy,,,,8188890.0,ns,16
simple_insert,bevy,,,,9192543.0,ns,18
simple_insert,bevy,,,,10274985.0,ns,20
simple_insert,bevy,,,,11403034.0,ns,22
simple_insert,bevy,,,,12250358.0,ns,24
simple_insert,bevy,,,,13331348.0,ns,26
simple_insert,bevy,,,,14328067.0,ns,28
simple_insert,bevy,,,,15317752.0,ns,30
simple_insert,bevy,,,,16340239.0,ns,32
simple_insert,bevy,,,,17357128.0,ns,34
simple_insert,bevy,,,,19105768.0,ns,36
simple_insert,bevy,,,,19654675.0,ns,38
simple_insert,bevy,,,,20413829.0,ns,40
simple_insert,bevy,,,,21524937.0,ns,42
simple_insert,bevy,,,,22454208.0,ns,44
simple_insert,bevy,,,,23686686.0,ns,46
simple_insert,bevy,,,,24586720.0,ns,48
simple_insert,bevy,,,,25819629.0,ns,50
simple_insert,bevy,,,,26847698.0,ns,52
simple_insert,bevy,,,,27958233.0,ns,54
simple_insert,bevy,,,,28686571.0,ns,56
simple_insert,bevy,,,,29711855.0,ns,58
simple_insert,bevy,,,,31358971.0,ns,60
simple_insert,bevy,,,,31754637.0,ns,62
simple_insert,bevy,,,,32838761.0,ns,64
simple_insert,bevy,,,,33753444.0,ns,66
simple_insert,bevy,,,,35384191.0,ns,68
simple_insert,bevy,,,,35755308.0,ns,70
simple_insert,bevy,,,,36999678.0,ns,72
simple_insert,bevy,,,,38394806.0,ns,74
simple_insert,bevy,,,,38817732.0,ns,76
simple_insert,bevy,,,,40250991.0,ns,78
simple_insert,bevy,,,,41159103.0,ns,80
simple_insert,bevy,,,,42160571.0,ns,82
simple_insert,bevy,,,,42827681.0,ns,84
simple_insert,bevy,,,,43926325.0,ns,86
simple_insert,bevy,,,,45125488.0,ns,88
simple_insert,bevy,,,,46465702.0,ns,90
simple_insert,bevy,,,,47478111.0,ns,92
simple_insert,bevy,,,,48280379.0,ns,94
simple_insert,bevy,,,,49660759.0,ns,96
simple_insert,bevy,,,,50613975.0,ns,98
simple_insert,bevy,,,,51592700.0,ns,100
simple_insert,bevy,,,,52710338.0,ns,102
simple_insert,bevy,,,,53814201.0,ns,104
simple_insert,bevy,,,,54287243.0,ns,106
simple_insert,bevy,,,,55421524.0,ns,108
simple_insert,bevy,,,,56207501.0,ns,110
simple_insert,bevy,,,,58024542.0,ns,112
simple_insert,bevy,,,,58284297.0,ns,114
simple_insert,bevy,,,,59734080.0,ns,116
simple_insert,bevy,,,,60540155.0,ns,118
simple_insert,bevy,,,,62670063.0,ns,120
simple_insert,bevy,,,,63003438.0,ns,122
simple_insert,bevy,,,,64133982.0,ns,124
simple_insert,bevy,,,,64701733.0,ns,126
simple_insert,bevy,,,,65789555.0,ns,128
simple_insert,bevy,,,,66509819.0,ns,130
simple_insert,bevy,,,,67709062.0,ns,132
simple_insert,bevy,,,,68949397.0,ns,134
simple_insert,bevy,,,,69903473.0,ns,136
simple_insert,bevy,,,,70977169.0,ns,138
simple_insert,bevy,,,,72026499.0,ns,140
simple_insert,bevy,,,,73092258.0,ns,142
simple_insert,bevy,,,,73696940.0,ns,144
simple_insert,bevy,,,,74669412.0,ns,146
simple_insert,bevy,,,,75915166.0,ns,148
simple_insert,bevy,,,,77034037.0,ns,150
simple_insert,bevy,,,,77887893.0,ns,152
simple_insert,bevy,,,,79298723.0,ns,154
simple_insert,bevy,,,,80190611.0,ns,156
simple_insert,bevy,,,,81059528.0,ns,158
simple_insert,bevy,,,,82451818.0,ns,160
simple_insert,bevy,,,,83592361.0,ns,162
simple_insert,bevy,,,,84332212.0,ns,164
simple_insert,bevy,,,,85504775.0,ns,166
simple_insert,bevy,,,,86390223.0,ns,168
simple_insert,bevy,,,,86987209.0,ns,170
simple_insert,bevy,,,,88179561.0,ns,172
simple_insert,bevy,,,,89407100.0,ns,174
simple_insert,bevy,,,,90843906.0,ns,176
simple_insert,bevy,,,,92313215.0,ns,178
simple_insert,bevy,,,,92515441.0,ns,180
simple_insert,bevy,,,,94059814.0,ns,182
simple_insert,bevy,,,,94483821.0,ns,184
simple_insert,bevy,,,,96277629.0,ns,186
simple_insert,bevy,,,,98850870.0,ns,188
simple_insert,bevy,,,,97546055.0,ns,190
simple_insert,bevy,,,,98803060.0,ns,192
simple_insert,bevy,,,,100374864.0,ns,194
simple_insert,bevy,,,,100830292.0,ns,196
simple_insert,bevy,,,,102138362.0,ns,198
simple_insert,bevy,,,,102379083.0,ns,200
