group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,brood,,,,954700.0,ns,11
simple_insert,brood,,,,1548100.0,ns,22
simple_insert,brood,,,,3046500.0,ns,33
simple_insert,brood,,,,3502100.0,ns,44
simple_insert,brood,,,,3807100.0,ns,55
simple_insert,brood,,,,6122700.0,ns,66
simple_insert,brood,,,,5750600.0,ns,77
simple_insert,brood,,,,6543400.0,ns,88
simple_insert,brood,,,,7960100.0,ns,99
simple_insert,brood,,,,8199100.0,ns,110
simple_insert,brood,,,,9510500.0,ns,121
simple_insert,brood,,,,10334300.0,ns,132
simple_insert,brood,,,,11107600.0,ns,143
simple_insert,brood,,,,12223700.0,ns,154
simple_insert,brood,,,,12817500.0,ns,165
simple_insert,brood,,,,14259300.0,ns,176
simple_insert,brood,,,,14021200.0,ns,187
simple_insert,brood,,,,15074900.0,ns,198
simple_insert,brood,,,,16028000.0,ns,209
simple_insert,brood,,,,17680100.0,ns,220
simple_insert,brood,,,,18030200.0,ns,231
simple_insert,brood,,,,18826300.0,ns,242
simple_insert,brood,,,,19279900.0,ns,253
simple_insert,brood,,,,20453100.0,ns,264
simple_insert,brood,,,,21888700.0,ns,275
simple_insert,brood,,,,21878100.0,ns,286
simple_insert,brood,,,,23642100.0,ns,297
simple_insert,brood,,,,23692400.0,ns,308
simple_insert,brood,,,,24779900.0,ns,319
simple_insert,brood,,,,25750200.0,ns,330
simple_insert,brood,,,,26532700.0,ns,341
simple_insert,brood,,,,27388800.0,ns,352
simple_insert,brood,,,,28107500.0,ns,363
simple_insert,brood,,,,29370600.0,ns,374
simple_insert,brood,,,,29773500.0,ns,385
simple_insert,brood,,,,30975900.0,ns,396
simple_insert,brood,,,,31672500.0,ns,407
simple_insert,brood,,,,32287100.0,ns,418
simple_insert,brood,,,,33649800.0,ns,429
simple_insert,brood,,,,34112600.0,ns,440
simple_insert,brood,,,,35561500.0,ns,451
simple_insert,brood,,,,35588300.0,ns,462
simple_insert,brood,,,,39048500.0,ns,473
simple_insert,brood,,,,36826900.0,ns,484
simple_insert,brood,,,,39239600.0,ns,495
simple_insert,brood,,,,39282500.0,ns,506
simple_insert,brood,,,,40768300.0,ns,517
simple_insert,brood,,,,39949900.0,ns,528
simple_insert,brood,,,,42423100.0,ns,539
simple_insert,brood,,,,42504500.0,ns,550
simple_insert,brood,,,,44135500.0,ns,561
simple_insert,brood,,,,44113200.0,ns,572
simple_insert,brood,,,,45631500.0,ns,583
simple_insert,brood,,,,46212100.0,ns,594
simple_insert,brood,,,,46983600.0,ns,605
simple_insert,brood,,,,48529600.0,ns,616
simple_insert,brood,,,,48350000.0,ns,627
simple_insert,brood,,,,50096700.0,ns,638
simple_insert,brood,,,,50407300.0,ns,649
simple_insert,brood,,,,51472600.0,ns,660
simple_insert,brood,,,,52104500.0,ns,671
simple_insert,brood,,,,52604000.0,ns,682
simple_insert,brood,,,,53754400.0,ns,693
simple_insert,brood,,,,55170000.0,ns,704
simple_insert,brood,,,,55805900.0,ns,715
simple_insert,brood,,,,56252000.0,ns,726
simple_insert,brood,,,,57120900.0,ns,737
simple_insert,brood,,,,58585400.0,ns,748
simple_insert,brood,,,,58767600.0,ns,759
simple_insert,brood,,,,59873700.0,ns,770
simple_insert,brood,,,,60877600.0,ns,781
simple_insert,brood,,,,62022500.0,ns,792
simple_insert,brood,,,,62283200.0,ns,803
simple_insert,brood,,,,63511800.0,ns,814
simple_insert,brood,,,,64136000.0,ns,825
simple_insert,brood,,,,65892700.0,ns,836
simple_insert,brood,,,,65730900.0,ns,847
simple_insert,brood,,,,67034800.0,ns,858
simple_insert,brood,,,,66846900.0,ns,869
simple_insert,brood,,,,68791400.0,ns,880
simple_insert,brood,,,,69635700.0,ns,891
simple_insert,brood,,,,70008900.0,ns,902
simple_insert,brood,,,,71586000.0,ns,913
simple_insert,brood,,,,72039600.0,ns,924
simple_insert,brood,,,,73028400.0,ns,935
simple_insert,brood,,,,72957500.0,ns,946
simple_insert,brood,,,,74724600.0,ns,957
simple_insert,brood,,,,75212100.0,ns,968
simple_insert,brood,,,,76179900.0,ns,979
simple_insert,brood,,,,77543300.0,ns,990
simple_insert,brood,,,,77304100.0,ns,1001
simple_insert,brood,,,,79000300.0,ns,1012
simple_insert,brood,,,,79834300.0,ns,1023
simple_insert,brood,,,,80593700.0,ns,1034
simple_insert,brood,,,,81395400.0,ns,1045
simple_insert,brood,,,,82121000.0,ns,1056
simple_insert,brood,,,,83393800.0,ns,1067
simple_insert,brood,,,,84346300.0,ns,1078
simple_insert,brood,,,,84440900.0,ns,1089
simple_insert,brood,,,,85940700.0,ns,1100
