group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,1282000.0,ns,2
simple_insert,hecs,,,,2309200.0,ns,4
simple_insert,hecs,,,,3434700.0,ns,6
simple_insert,hecs,,,,4581400.0,ns,8
simple_insert,hecs,,,,5739100.0,ns,10
simple_insert,hecs,,,,6895800.0,ns,12
simple_insert,hecs,,,,8086600.0,ns,14
simple_insert,hecs,,,,9145100.0,ns,16
simple_insert,hecs,,,,10326800.0,ns,18
simple_insert,hecs,,,,11416000.0,ns,20
simple_insert,hecs,,,,12392200.0,ns,22
simple_insert,hecs,,,,13659600.0,ns,24
simple_insert,hecs,,,,14847500.0,ns,26
simple_insert,hecs,,,,16071700.0,ns,28
simple_insert,hecs,,,,17035700.0,ns,30
simple_insert,hecs,,,,18284900.0,ns,32
simple_insert,hecs,,,,19490200.0,ns,34
simple_insert,hecs,,,,20595200.0,ns,36
simple_insert,hecs,,,,21711900.0,ns,38
simple_insert,hecs,,,,22225900.0,ns,40
simple_insert,hecs,,,,24173900.0,ns,42
simple_insert,hecs,,,,24878200.0,ns,44
simple_insert,hecs,,,,25512700.0,ns,46
simple_insert,hecs,,,,26247500.0,ns,48
simple_insert,hecs,,,,27145200.0,ns,50
simple_insert,hecs,,,,29153100.0,ns,52
simple_insert,hecs,,,,30767700.0,ns,54
simple_insert,hecs,,,,30663000.0,ns,56
simple_insert,hecs,,,,33337700.0,ns,58
simple_insert,hecs,,,,34091600.0,ns,60
simple_insert,hecs,,,,35151400.0,ns,62
simple_insert,hecs,,,,36002200.0,ns,64
simple_insert,hecs,,,,37800700.0,ns,66
simple_insert,hecs,,,,38367200.0,ns,68
simple_insert,hecs,,,,39956700.0,ns,70
simple_insert,hecs,,,,41222600.0,ns,72
simple_insert,hecs,,,,42251600.0,ns,74
simple_insert,hecs,,,,43469700.0,ns,76
simple_insert,hecs,,,,43374700.0,ns,78
simple_insert,hecs,,,,42034100.0,ns,80
simple_insert,hecs,,,,44473200.0,ns,82
simple_insert,hecs,,,,46861300.0,ns,84
simple_insert,hecs,,,,48111300.0,ns,86
simple_insert,hecs,,,,49610300.0,ns,88
simple_insert,hecs,,,,52223700.0,ns,90
simple_insert,hecs,,,,52587000.0,ns,92
simple_insert,hecs,,,,54198200.0,ns,94
simple_insert,hecs,,,,55199200.0,ns,96
simple_insert,hecs,,,,53545300.0,ns,98
simple_insert,hecs,,,,53563300.0,ns,100
simple_insert,hecs,,,,54063200.0,ns,102
simple_insert,hecs,,,,54937800.0,ns,104
simple_insert,hecs,,,,55694800.0,ns,106
simple_insert,hecs,,,,56648900.0,ns,108
simple_insert,hecs,,,,57813700.0,ns,110
simple_insert,hecs,,,,58785600.0,ns,112
simple_insert,hecs,,,,59793700.0,ns,114
simple_insert,hecs,,,,61082400.0,ns,116
simple_insert,hecs,,,,61880900.0,ns,118
simple_insert,hecs,,,,63177900.0,ns,120
simple_insert,hecs,,,,64661700.0,ns,122
simple_insert,hecs,,,,70031400.0,ns,124
simple_insert,hecs,,,,71556100.0,ns,126
simple_insert,hecs,,,,71951700.0,ns,128
simple_insert,hecs,,,,73236700.0,ns,130
simple_insert,hecs,,,,74862400.0,ns,132
simple_insert,hecs,,,,76251500.0,ns,134
simple_insert,hecs,,,,74334000.0,ns,136
simple_insert,hecs,,,,78716100.0,ns,138
simple_insert,hecs,,,,79755600.0,ns,140
simple_insert,hecs,,,,74950500.0,ns,142
simple_insert,hecs,,,,75522900.0,ns,144
simple_insert,hecs,,,,76653300.0,ns,146
simple_insert,hecs,,,,77794400.0,ns,148
simple_insert,hecs,,,,84869500.0,ns,150
simple_insert,hecs,,,,91257400.0,ns,152
simple_insert,hecs,,,,83129800.0,ns,154
simple_insert,hecs,,,,83996500.0,ns,156
simple_insert,hecs,,,,85115300.0,ns,158
simple_insert,hecs,,,,86158700.0,ns,160
simple_insert,hecs,,,,87142900.0,ns,162
simple_insert,hecs,,,,97308000.0,ns,164
simple_insert,hecs,,,,91392600.0,ns,166
simple_insert,hecs,,,,90325000.0,ns,168
simple_insert,hecs,,,,91426800.0,ns,170
simple_insert,hecs,,,,92604200.0,ns,172
simple_insert,hecs,,,,93643900.0,ns,174
simple_insert,hecs,,,,95355800.0,ns,176
simple_insert,hecs,,,,96383500.0,ns,178
simple_insert,hecs,,,,103897700.0,ns,180
simple_insert,hecs,,,,107924000.0,ns,182
simple_insert,hecs,,,,108008300.0,ns,184
simple_insert,hecs,,,,110284500.0,ns,186
simple_insert,hecs,,,,110165200.0,ns,188
simple_insert,hecs,,,,108442000.0,ns,190
simple_insert,hecs,,,,110138100.0,ns,192
simple_insert,hecs,,,,110310400.0,ns,194
simple_insert,hecs,,,,105681800.0,ns,196
simple_insert,hecs,,,,113615200.0,ns,198
simple_insert,hecs,,,,122924900.0,ns,200
