group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,1106855.0,ns,2
simple_insert,hecs,,,,2284430.0,ns,4
simple_insert,hecs,,,,3695684.0,ns,6
simple_insert,hecs,,,,4440201.0,ns,8
simple_insert,hecs,,,,5629310.0,ns,10
simple_insert,hecs,,,,7316559.0,ns,12
simple_insert,hecs,,,,9247343.0,ns,14
simple_insert,hecs,,,,9639475.0,ns,16
simple_insert,hecs,,,,10505987.0,ns,18
simple_insert,hecs,,,,11666200.0,ns,20
simple_insert,hecs,,,,13098768.0,ns,22
simple_insert,hecs,,,,13849398.0,ns,24
simple_insert,hecs,,,,17284816.0,ns,26
simple_insert,hecs,,,,15932001.0,ns,28
simple_insert,hecs,,,,17712890.0,ns,30
simple_insert,hecs,,,,18244490.0,ns,32
simple_insert,hecs,,,,20889071.0,ns,34
simple_insert,hecs,,,,21270150.0,ns,36
simple_insert,hecs,,,,24328940.0,ns,38
simple_insert,hecs,,,,23160383.0,ns,40
simple_insert,hecs,,,,23813375.0,ns,42
simple_insert,hecs,,,,24903696.0,ns,44
simple_insert,hecs,,,,27144028.0,ns,46
simple_insert,hecs,,,,30286205.0,ns,48
simple_insert,hecs,,,,28337879.0,ns,50
simple_insert,hecs,,,,30608690.0,ns,52
simple_insert,hecs,,,,33440128.0,ns,54
simple_insert,hecs,,,,34685805.0,ns,56
simple_insert,hecs,,,,32586114.0,ns,58
simple_insert,hecs,,,,33919041.0,ns,60
simple_insert,hecs,,,,36575502.0,ns,62
simple_insert,hecs,,,,37407935.0,ns,64
simple_insert,hecs,,,,38121271.0,ns,66
simple_insert,hecs,,,,39904014.0,ns,68
simple_insert,hecs,,,,39710692.0,ns,70
simple_insert,hecs,,,,40578307.0,ns,72
simple_insert,hecs,,,,42353518.0,ns,74
simple_insert,hecs,,,,45826438.0,ns,76
simple_insert,hecs,,,,44787888.0,ns,78
simple_insert,hecs,,,,48220483.0,ns,80
simple_insert,hecs,,,,47479560.0,ns,82
simple_insert,hecs,,,,50322639.0,ns,84
simple_insert,hecs,,,,50894108.0,ns,86
simple_insert,hecs,,,,52273177.0,ns,88
simple_insert,hecs,,,,53825165.0,ns,90
simple_insert,hecs,,,,58830950.0,ns,92
simple_insert,hecs,,,,60411574.0,ns,94
simple_insert,hecs,,,,59035275.0,ns,96
simple_insert,hecs,,,,56475348.0,ns,98
simple_insert,hecs,,,,57861276.0,ns,100
simple_insert,hecs,,,,59083043.0,ns,102
simple_insert,hecs,,,,70341715.0,ns,104
simple_insert,hecs,,,,73346337.0,ns,106
simple_insert,hecs,,,,63806593.0,ns,108
simple_insert,hecs,,,,64907620.0,ns,110
simple_insert,hecs,,,,66724569.0,ns,112
simple_insert,hecs,,,,67684832.0,ns,114
simple_insert,hecs,,,,67380962.0,ns,116
simple_insert,hecs,,,,69285074.0,ns,118
simple_insert,hecs,,,,72094041.0,ns,120
simple_insert,hecs,,,,70040915.0,ns,122
simple_insert,hecs,,,,72601479.0,ns,124
simple_insert,hecs,,,,74017564.0,ns,126
simple_insert,hecs,,,,76120952.0,ns,128
simple_insert,hecs,,,,75469872.0,ns,130
simple_insert,hecs,,,,77334195.0,ns,132
simple_insert,hecs,,,,79226149.0,ns,134
simple_insert,hecs,,,,79113526.0,ns,136
simple_insert,hecs,,,,81433048.0,ns,138
simple_insert,hecs,,,,83598696.0,ns,140
simple_insert,hecs,,,,82920874.0,ns,142
simple_insert,hecs,,,,83950062.0,ns,144
simple_insert,hecs,,,,89375634.0,ns,146
simple_insert,hecs,,,,85128259.0,ns,148
simple_insert,hecs,,,,87811113.0,ns,150
simple_insert,hecs,,,,88167464.0,ns,152
simple_insert,hecs,,,,88955770.0,ns,154
simple_insert,hecs,,,,91498229.0,ns,156
simple_insert,hecs,,,,93280846.0,ns,158
simple_insert,hecs,,,,92196300.0,ns,160
simple_insert,hecs,,,,99158658.0,ns,162
simple_insert,hecs,,,,96312070.0,ns,164
simple_insert,hecs,,,,97813545.0,ns,166
simple_insert,hecs,,,,101906161.0,ns,168
simple_insert,hecs,,,,98991829.0,ns,170
simple_insert,hecs,,,,101655975.0,ns,172
simple_insert,hecs,,,,103011036.0,ns,174
simple_insert,hecs,,,,103269140.0,ns,176
simple_insert,hecs,,,,102212700.0,ns,178
simple_insert,hecs,,,,106036984.0,ns,180
simple_insert,hecs,,,,109934890.0,ns,182
simple_insert,hecs,,,,108230677.0,ns,184
simple_insert,hecs,,,,109249970.0,ns,186
simple_insert,hecs,,,,109558591.0,ns,188
simple_insert,hecs,,,,112079732.0,ns,190
simple_insert,hecs,,,,113754034.0,ns,192
simple_insert,hecs,,,,112462199.0,ns,194
simple_insert,hecs,,,,116996716.0,ns,196
simple_insert,hecs,,,,115206547.0,ns,198
simple_insert,hecs,,,,120717836.0,ns,200
