group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,1145670.0,ns,5
simple_insert,legion,,,,2321497.0,ns,10
simple_insert,legion,,,,3418889.0,ns,15
simple_insert,legion,,,,4295496.0,ns,20
simple_insert,legion,,,,5894311.0,ns,25
simple_insert,legion,,,,6551571.0,ns,30
simple_insert,legion,,,,7879897.0,ns,35
simple_insert,legion,,,,8845908.0,ns,40
simple_insert,legion,,,,10242681.0,ns,45
simple_insert,legion,,,,10954070.0,ns,50
simple_insert,legion,,,,12086261.0,ns,55
simple_insert,legion,,,,13128232.0,ns,60
simple_insert,legion,,,,14267672.0,ns,65
simple_insert,legion,,,,15411692.0,ns,70
simple_insert,legion,,,,16745985.0,ns,75
simple_insert,legion,,,,19131726.0,ns,80
simple_insert,legion,,,,19791143.0,ns,85
simple_insert,legion,,,,19938804.0,ns,90
simple_insert,legion,,,,21038965.0,ns,95
simple_insert,legion,,,,23672382.0,ns,100
simple_insert,legion,,,,23420528.0,ns,105
simple_insert,legion,,,,24947155.0,ns,110
simple_insert,legion,,,,25315178.0,ns,115
simple_insert,legion,,,,27946949.0,ns,120
simple_insert,legion,,,,28132876.0,ns,125
simple_insert,legion,,,,28870704.0,ns,130
simple_insert,legion,,,,30179127.0,ns,135
simple_insert,legion,,,,31059120.0,ns,140
simple_insert,legion,,,,34561395.0,ns,145
simple_insert,legion,,,,33881462.0,ns,150
simple_insert,legion,,,,35061112.0,ns,155
simple_insert,legion,,,,36577520.0,ns,160
simple_insert,legion,,,,37011570.0,ns,165
simple_insert,legion,,,,37833630.0,ns,170
simple_insert,legion,,,,39334066.0,ns,175
simple_insert,legion,,,,39800691.0,ns,180
simple_insert,legion,,,,40392195.0,ns,185
simple_insert,legion,,,,41872836.0,ns,190
simple_insert,legion,,,,44903261.0,ns,195
simple_insert,legion,,,,44095317.0,ns,200
simple_insert,legion,,,,46050428.0,ns,205
simple_insert,legion,,,,46122019.0,ns,210
simple_insert,legion,,,,47788342.0,ns,215
simple_insert,legion,,,,48940780.0,ns,220
simple_insert,legion,,,,49968378.0,ns,225
simple_insert,legion,,,,51591447.0,ns,230
simple_insert,legion,,,,52006767.0,ns,235
simple_insert,legion,,,,53041458.0,ns,240
simple_insert,legion,,,,54765174.0,ns,245
simple_insert,legion,,,,54871565.0,ns,250
simple_insert,legion,,,,56032254.0,ns,255
simple_insert,legion,,,,58504776.0,ns,260
simple_insert,legion,,,,61782281.0,ns,265
simple_insert,legion,,,,63201658.0,ns,270
simple_insert,legion,,,,64461442.0,ns,275
simple_insert,legion,,,,64885007.0,ns,280
simple_insert,legion,,,,63109577.0,ns,285
simple_insert,legion,,,,65042309.0,ns,290
simple_insert,legion,,,,65497853.0,ns,295
simple_insert,legion,,,,65691691.0,ns,300
simple_insert,legion,,,,67444532.0,ns,305
simple_insert,legion,,,,73338750.0,ns,310
simple_insert,legion,,,,71195465.0,ns,315
simple_insert,legion,,,,76348282.0,ns,320
simple_insert,legion,,,,76354811.0,ns,325
simple_insert,legion,,,,76311175.0,ns,330
simple_insert,legion,,,,74144460.0,ns,335
simple_insert,legion,,,,76491017.0,ns,340
simple_insert,legion,,,,77637793.0,ns,345
simple_insert,legion,,,,80265092.0,ns,350
simple_insert,legion,,,,79069610.0,ns,355
simple_insert,legion,,,,81252088.0,ns,360
simple_insert,legion,,,,83456128.0,ns,365
simple_insert,legion,,,,87355179.0,ns,370
simple_insert,legion,,,,86124404.0,ns,375
simple_insert,legion,,,,83875850.0,ns,380
simple_insert,legion,,,,85729321.0,ns,385
simple_insert,legion,,,,87244446.0,ns,390
simple_insert,legion,,,,90068828.0,ns,395
simple_insert,legion,,,,91604077.0,ns,400
simple_insert,legion,,,,91212474.0,ns,405
simple_insert,legion,,,,92197403.0,ns,410
simple_insert,legion,,,,96464679.0,ns,415
simple_insert,legion,,,,92911825.0,ns,420
simple_insert,legion,,,,94288309.0,ns,425
simple_insert,legion,,,,95153903.0,ns,430
simple_insert,legion,,,,97169001.0,ns,435
simple_insert,legion,,,,97611537.0,ns,440
simple_insert,legion,,,,98960338.0,ns,445
simple_insert,legion,,,,100109231.0,ns,450
simple_insert,legion,,,,103455180.0,ns,455
simple_insert,legion,,,,101099849.0,ns,460
simple_insert,legion,,,,104449125.0,ns,465
simple_insert,legion,,,,103016680.0,ns,470
simple_insert,legion,,,,103761078.0,ns,475
simple_insert,legion,,,,106570703.0,ns,480
simple_insert,legion,,,,107327746.0,ns,485
simple_insert,legion,,,,108427021.0,ns,490
simple_insert,legion,,,,109050279.0,ns,495
simple_insert,legion,,,,109919167.0,ns,500
