group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,1036285.0,ns,7
simple_insert,legion,,,,2069563.0,ns,14
simple_insert,legion,,,,3097532.0,ns,21
simple_insert,legion,,,,4277368.0,ns,28
simple_insert,legion,,,,5194176.0,ns,35
simple_insert,legion,,,,6228396.0,ns,42
simple_insert,legion,,,,7219364.0,ns,49
simple_insert,legion,,,,8300854.0,ns,56
simple_insert,legion,,,,9299468.0,ns,63
simple_insert,legion,,,,10363162.0,ns,70
simple_insert,legion,,,,11410187.0,ns,77
simple_insert,legion,,,,12414040.0,ns,84
simple_insert,legion,,,,13467767.0,ns,91
simple_insert,legion,,,,14508029.0,ns,98
simple_insert,legion,,,,15520649.0,ns,105
simple_insert,legion,,,,16594383.0,ns,112
simple_insert,legion,,,,17619737.0,ns,119
simple_insert,legion,,,,18662926.0,ns,126
simple_insert,legion,,,,19682297.0,ns,133
simple_insert,legion,,,,20717970.0,ns,140
simple_insert,legion,,,,21776355.0,ns,147
simple_insert,legion,,,,22798615.0,ns,154
simple_insert,legion,,,,23912245.0,ns,161
simple_insert,legion,,,,24914725.0,ns,168
simple_insert,legion,,,,25930941.0,ns,175
simple_insert,legion,,,,26969130.0,ns,182
simple_insert,legion,,,,27986417.0,ns,189
simple_insert,legion,,,,29020467.0,ns,196
simple_insert,legion,,,,30055189.0,ns,203
simple_insert,legion,,,,31070461.0,ns,210
simple_insert,legion,,,,32086269.0,ns,217
simple_insert,legion,,,,33128954.0,ns,224
simple_insert,legion,,,,34153437.0,ns,231
simple_insert,legion,,,,35259854.0,ns,238
simple_insert,legion,,,,36222789.0,ns,245
simple_insert,legion,,,,37253383.0,ns,252
simple_insert,legion,,,,38347486.0,ns,259
simple_insert,legion,,,,39386986.0,ns,266
simple_insert,legion,,,,40395207.0,ns,273
simple_insert,legion,,,,41428096.0,ns,280
simple_insert,legion,,,,42466333.0,ns,287
simple_insert,legion,,,,43541851.0,ns,294
simple_insert,legion,,,,44576363.0,ns,301
simple_insert,legion,,,,45555057.0,ns,308
simple_insert,legion,,,,46639263.0,ns,315
simple_insert,legion,,,,47632866.0,ns,322
simple_insert,legion,,,,48655585.0,ns,329
simple_insert,legion,,,,49684764.0,ns,336
simple_insert,legion,,,,50739173.0,ns,343
simple_insert,legion,,,,51757375.0,ns,350
simple_insert,legion,,,,52801312.0,ns,357
simple_insert,legion,,,,53906998.0,ns,364
simple_insert,legion,,,,54945477.0,ns,371
simple_insert,legion,,,,56045683.0,ns,378
simple_insert,legion,,,,57024569.0,ns,385
simple_insert,legion,,,,58260673.0,ns,392
simple_insert,legion,,,,59134679.0,ns,399
simple_insert,legion,,,,60102091.0,ns,406
simple_insert,legion,,,,62011689.0,ns,413
simple_insert,legion,,,,62296641.0,ns,420
simple_insert,legion,,,,63195825.0,ns,427
simple_insert,legion,,,,64266506.0,ns,434
simple_insert,legion,,,,65181057.0,ns,441
simple_insert,legion,,,,66343182.0,ns,448
simple_insert,legion,,,,67589977.0,ns,455
simple_insert,legion,,,,68393637.0,ns,462
simple_insert,legion,,,,69331224.0,ns,469
simple_insert,legion,,,,70429727.0,ns,476
simple_insert,legion,,,,71483112.0,ns,483
simple_insert,legion,,,,72456338.0,ns,490
simple_insert,legion,,,,73543549.0,ns,497
simple_insert,legion,,,,74920903.0,ns,504
simple_insert,legion,,,,75698805.0,ns,511
simple_insert,legion,,,,76697737.0,ns,518
simple_insert,legion,,,,77901060.0,ns,525
simple_insert,legion,,,,78854667.0,ns,532
simple_insert,legion,,,,80040216.0,ns,539
simple_insert,legion,,,,80864516.0,ns,546
simple_insert,legion,,,,81743290.0,ns,553
simple_insert,legion,,,,82760316.0,ns,560
simple_insert,legion,,,,83822952.0,ns,567
simple_insert,legion,,,,84885176.0,ns,574
simple_insert,legion,,,,85929224.0,ns,581
simple_insert,legion,,,,86962524.0,ns,588
simple_insert,legion,,,,87961707.0,ns,595
simple_insert,legion,,,,88954277.0,ns,602
simple_insert,legion,,,,89987466.0,ns,609
simple_insert,legion,,,,91031315.0,ns,616
simple_insert,legion,,,,92101704.0,ns,623
simple_insert,legion,,,,93163828.0,ns,630
simple_insert,legion,,,,94199891.0,ns,637
simple_insert,legion,,,,95204494.0,ns,644
simple_insert,legion,,,,96342853.0,ns,651
simple_insert,legion,,,,97327210.0,ns,658
simple_insert,legion,,,,98373471.0,ns,665
simple_insert,legion,,,,99461686.0,ns,672
simple_insert,legion,,,,100459106.0,ns,679
simple_insert,legion,,,,101451025.0,ns,686
simple_insert,legion,,,,102519471.0,ns,693
simple_insert,legion,,,,103524035.0,ns,700
