group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion_0.2.4,,,,1063800.0,ns,1
simple_insert,legion_0.2.4,,,,2111200.0,ns,2
simple_insert,legion_0.2.4,,,,3156400.0,ns,3
simple_insert,legion_0.2.4,,,,4191300.0,ns,4
simple_insert,legion_0.2.4,,,,5247500.0,ns,5
simple_insert,legion_0.2.4,,,,6712400.0,ns,6
simple_insert,legion_0.2.4,,,,8475100.0,ns,7
simple_insert,legion_0.2.4,,,,8625400.0,ns,8
simple_insert,legion_0.2.4,,,,9421000.0,ns,9
simple_insert,legion_0.2.4,,,,11328300.0,ns,10
simple_insert,legion_0.2.4,,,,11605300.0,ns,11
simple_insert,legion_0.2.4,,,,12864600.0,ns,12
simple_insert,legion_0.2.4,,,,14246300.0,ns,13
simple_insert,legion_0.2.4,,,,14844200.0,ns,14
simple_insert,legion_0.2.4,,,,16120900.0,ns,15
simple_insert,legion_0.2.4,,,,17351100.0,ns,16
simple_insert,legion_0.2.4,,,,17858800.0,ns,17
simple_insert,legion_0.2.4,,,,19445500.0,ns,18
simple_insert,legion_0.2.4,,,,20477300.0,ns,19
simple_insert,legion_0.2.4,,,,21048900.0,ns,20
simple_insert,legion_0.2.4,,,,22606400.0,ns,21
simple_insert,legion_0.2.4,,,,23759300.0,ns,22
simple_insert,legion_0.2.4,,,,24864900.0,ns,23
simple_insert,legion_0.2.4,,,,31384500.0,ns,24
simple_insert,legion_0.2.4,,,,26569200.0,ns,25
simple_insert,legion_0.2.4,,,,27607900.0,ns,26
simple_insert,legion_0.2.4,,,,28765700.0,ns,27
simple_insert,legion_0.2.4,,,,29676500.0,ns,28
simple_insert,legion_0.2.4,,,,30835600.0,ns,29
simple_insert,legion_0.2.4,,,,31785000.0,ns,30
simple_insert,legion_0.2.4,,,,32769400.0,ns,31
simple_insert,legion_0.2.4,,,,33906100.0,ns,32
simple_insert,legion_0.2.4,,,,34353200.0,ns,33
simple_insert,legion_0.2.4,,,,34567100.0,ns,34
simple_insert,legion_0.2.4,,,,35888500.0,ns,35
simple_insert,legion_0.2.4,,,,37466200.0,ns,36
simple_insert,legion_0.2.4,,,,38543300.0,ns,37
simple_insert,legion_0.2.4,,,,39348500.0,ns,38
simple_insert,legion_0.2.4,,,,40555400.0,ns,39
simple_insert,legion_0.2.4,,,,42061800.0,ns,40
simple_insert,legion_0.2.4,,,,44262000.0,ns,41
simple_insert,legion_0.2.4,,,,45621400.0,ns,42
simple_insert,legion_0.2.4,,,,46154900.0,ns,43
simple_insert,legion_0.2.4,,,,46248900.0,ns,44
simple_insert,legion_0.2.4,,,,47706200.0,ns,45
simple_insert,legion_0.2.4,,,,48508500.0,ns,46
simple_insert,legion_0.2.4,,,,49243200.0,ns,47
simple_insert,legion_0.2.4,,,,50940800.0,ns,48
simple_insert,legion_0.2.4,,,,52030900.0,ns,49
simple_insert,legion_0.2.4,,,,53488400.0,ns,50
simple_insert,legion_0.2.4,,,,54532500.0,ns,51
simple_insert,legion_0.2.4,,,,56319900.0,ns,52
simple_insert,legion_0.2.4,,,,57438100.0,ns,53
simple_insert,legion_0.2.4,,,,57673200.0,ns,54
simple_insert,legion_0.2.4,,,,58062300.0,ns,55
simple_insert,legion_0.2.4,,,,58631600.0,ns,56
simple_insert,legion_0.2.4,,,,59262800.0,ns,57
simple_insert,legion_0.2.4,,,,60050600.0,ns,58
simple_insert,legion_0.2.4,,,,61030800.0,ns,59
simple_insert,legion_0.2.4,,,,62253200.0,ns,60
simple_insert,legion_0.2.4,,,,65377900.0,ns,61
simple_insert,legion_0.2.4,,,,65462500.0,ns,62
simple_insert,legion_0.2.4,,,,66304800.0,ns,63
simple_insert,legion_0.2.4,,,,67649500.0,ns,64
simple_insert,legion_0.2.4,,,,68302100.0,ns,65
simple_insert,legion_0.2.4,,,,71550700.0,ns,66
simple_insert,legion_0.2.4,,,,70969000.0,ns,67
simple_insert,legion_0.2.4,,,,72735300.0,ns,68
simple_insert,legion_0.2.4,,,,73440000.0,ns,69
simple_insert,legion_0.2.4,,,,74508400.0,ns,70
simple_insert,legion_0.2.4,,,,74625700.0,ns,71
simple_insert,legion_0.2.4,,,,75991300.0,ns,72
simple_insert,legion_0.2.4,,,,75732200.0,ns,73
simple_insert,legion_0.2.4,,,,76863300.0,ns,74
simple_insert,legion_0.2.4,,,,78148200.0,ns,75
simple_insert,legion_0.2.4,,,,81324300.0,ns,76
simple_insert,legion_0.2.4,,,,81758000.0,ns,77
simple_insert,legion_0.2.4,,,,83691000.0,ns,78
simple_insert,legion_0.2.4,,,,84592000.0,ns,79
simple_insert,legion_0.2.4,,,,85199300.0,ns,80
simple_insert,legion_0.2.4,,,,87178600.0,ns,81
simple_insert,legion_0.2.4,,,,87257000.0,ns,82
simple_insert,legion_0.2.4,,,,88666000.0,ns,83
simple_insert,legion_0.2.4,,,,89843600.0,ns,84
simple_insert,legion_0.2.4,,,,89637600.0,ns,85
simple_insert,legion_0.2.4,,,,90026200.0,ns,86
simple_insert,legion_0.2.4,,,,91547700.0,ns,87
simple_insert,legion_0.2.4,,,,92909900.0,ns,88
simple_insert,legion_0.2.4,,,,94599000.0,ns,89
simple_insert,legion_0.2.4,,,,96404500.0,ns,90
simple_insert,legion_0.2.4,,,,97325000.0,ns,91
simple_insert,legion_0.2.4,,,,97541500.0,ns,92
simple_insert,legion_0.2.4,,,,99323700.0,ns,93
simple_insert,legion_0.2.4,,,,98790000.0,ns,94
simple_insert,legion_0.2.4,,,,100126200.0,ns,95
simple_insert,legion_0.2.4,,,,100860700.0,ns,96
simple_insert,legion_0.2.4,,,,100622800.0,ns,97
simple_insert,legion_0.2.4,,,,101639500.0,ns,98
simple_insert,legion_0.2.4,,,,103795200.0,ns,99
simple_insert,legion_0.2.4,,,,105658700.0,ns,100
