group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,1022323.0,ns,2
simple_insert,planck_ecs,,,,2051999.0,ns,4
simple_insert,planck_ecs,,,,2958707.0,ns,6
simple_insert,planck_ecs,,,,4136317.0,ns,8
simple_insert,planck_ecs,,,,5184018.0,ns,10
simple_insert,planck_ecs,,,,5987022.0,ns,12
simple_insert,planck_ecs,,,,7187719.0,ns,14
simple_insert,planck_ecs,,,,7855178.0,ns,16
simple_insert,planck_ecs,,,,9187655.0,ns,18
simple_insert,planck_ecs,,,,9988349.0,ns,20
simple_insert,planck_ecs,,,,11074467.0,ns,22
simple_insert,planck_ecs,,,,11860449.0,ns,24
simple_insert,planck_ecs,,,,13008469.0,ns,26
simple_insert,planck_ecs,,,,14409771.0,ns,28
simple_insert,planck_ecs,,,,15150297.0,ns,30
simple_insert,planck_ecs,,,,15968276.0,ns,32
simple_insert,planck_ecs,,,,17258021.0,ns,34
simple_insert,planck_ecs,,,,17891292.0,ns,36
simple_insert,planck_ecs,,,,19441055.0,ns,38
simple_insert,planck_ecs,,,,20658757.0,ns,40
simple_insert,planck_ecs,,,,21113157.0,ns,42
simple_insert,planck_ecs,,,,22953477.0,ns,44
simple_insert,planck_ecs,,,,23149066.0,ns,46
simple_insert,planck_ecs,,,,25053366.0,ns,48
simple_insert,planck_ecs,,,,25878616.0,ns,50
simple_insert,planck_ecs,,,,26015020.0,ns,52
simple_insert,planck_ecs,,,,27273811.0,ns,54
simple_insert,planck_ecs,,,,27836627.0,ns,56
simple_insert,planck_ecs,,,,29452337.0,ns,58
simple_insert,planck_ecs,,,,30878157.0,ns,60
simple_insert,planck_ecs,,,,30966449.0,ns,62
simple_insert,planck_ecs,,,,32962187.0,ns,64
simple_insert,planck_ecs,,,,34041006.0,ns,66
simple_insert,planck_ecs,,,,34131998.0,ns,68
simple_insert,planck_ecs,,,,35936688.0,ns,70
simple_insert,planck_ecs,,,,35848271.0,ns,72
simple_insert,planck_ecs,,,,40358421.0,ns,74
simple_insert,planck_ecs,,,,38967407.0,ns,76
simple_insert,planck_ecs,,,,41014483.0,ns,78
simple_insert,planck_ecs,,,,41864985.0,ns,80
simple_insert,planck_ecs,,,,41897734.0,ns,82
simple_insert,planck_ecs,,,,43748896.0,ns,84
simple_insert,planck_ecs,,,,45061517.0,ns,86
simple_insert,planck_ecs,,,,44308563.0,ns,88
simple_insert,planck_ecs,,,,46314268.0,ns,90
simple_insert,planck_ecs,,,,46909709.0,ns,92
simple_insert,planck_ecs,,,,48006017.0,ns,94
simple_insert,planck_ecs,,,,49639180.0,ns,96
simple_insert,planck_ecs,,,,51345347.0,ns,98
simple_insert,planck_ecs,,,,51377793.0,ns,100
simple_insert,planck_ecs,,,,52749482.0,ns,102
simple_insert,planck_ecs,,,,53624647.0,ns,104
simple_insert,planck_ecs,,,,53659645.0,ns,106
simple_insert,planck_ecs,,,,53823861.0,ns,108
simple_insert,planck_ecs,,,,55443864.0,ns,110
simple_insert,planck_ecs,,,,57773732.0,ns,112
simple_insert,planck_ecs,,,,59656571.0,ns,114
simple_insert,planck_ecs,,,,59455485.0,ns,116
simple_insert,planck_ecs,,,,59855521.0,ns,118
simple_insert,planck_ecs,,,,59722415.0,ns,120
simple_insert,planck_ecs,,,,62328936.0,ns,122
simple_insert,planck_ecs,,,,63401874.0,ns,124
simple_insert,planck_ecs,,,,64873883.0,ns,126
simple_insert,planck_ecs,,,,65736805.0,ns,128
simple_insert,planck_ecs,,,,65103829.0,ns,130
simple_insert,planck_ecs,,,,67184462.0,ns,132
simple_insert,planck_ecs,,,,67578061.0,ns,134
simple_insert,planck_ecs,,,,68551744.0,ns,136
simple_insert,planck_ecs,,,,70247242.0,ns,138
simple_insert,planck_ecs,,,,72300171.0,ns,140
simple_insert,planck_ecs,,,,71417530.0,ns,142
simple_insert,planck_ecs,,,,73776895.0,ns,144
simple_insert,planck_ecs,,,,73684134.0,ns,146
simple_insert,planck_ecs,,,,74407418.0,ns,148
simple_insert,planck_ecs,,,,75714964.0,ns,150
simple_insert,planck_ecs,,,,76847321.0,ns,152
simple_insert,planck_ecs,,,,77283911.0,ns,154
simple_insert,planck_ecs,,,,81963301.0,ns,156
simple_insert,planck_ecs,,,,80877738.0,ns,158
simple_insert,planck_ecs,,,,83923480.0,ns,160
simple_insert,planck_ecs,,,,84325174.0,ns,162
simple_insert,planck_ecs,,,,83454607.0,ns,164
simple_insert,planck_ecs,,,,83760410.0,ns,166
simple_insert,planck_ecs,,,,85525626.0,ns,168
simple_insert,planck_ecs,,,,86493017.0,ns,170
simple_insert,planck_ecs,,,,89604067.0,ns,172
simple_insert,planck_ecs,,,,89089189.0,ns,174
simple_insert,planck_ecs,,,,92748495.0,ns,176
simple_insert,planck_ecs,,,,91407113.0,ns,178
simple_insert,planck_ecs,,,,92725678.0,ns,180
simple_insert,planck_ecs,,,,91774803.0,ns,182
simple_insert,planck_ecs,,,,91809155.0,ns,184
simple_insert,planck_ecs,,,,94162822.0,ns,186
simple_insert,planck_ecs,,,,96575622.0,ns,188
simple_insert,planck_ecs,,,,95919682.0,ns,190
simple_insert,planck_ecs,,,,101468607.0,ns,192
simple_insert,planck_ecs,,,,97759281.0,ns,194
simple_insert,planck_ecs,,,,100596034.0,ns,196
simple_insert,planck_ecs,,,,101246024.0,ns,198
simple_insert,planck_ecs,,,,101238625.0,ns,200
