group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,1253300.0,ns,2
simple_insert,planck_ecs,,,,2264100.0,ns,4
simple_insert,planck_ecs,,,,3336100.0,ns,6
simple_insert,planck_ecs,,,,4701200.0,ns,8
simple_insert,planck_ecs,,,,5752300.0,ns,10
simple_insert,planck_ecs,,,,7506300.0,ns,12
simple_insert,planck_ecs,,,,7997500.0,ns,14
simple_insert,planck_ecs,,,,9219000.0,ns,16
simple_insert,planck_ecs,,,,10292000.0,ns,18
simple_insert,planck_ecs,,,,12031700.0,ns,20
simple_insert,planck_ecs,,,,12621900.0,ns,22
simple_insert,planck_ecs,,,,14425400.0,ns,24
simple_insert,planck_ecs,,,,15515500.0,ns,26
simple_insert,planck_ecs,,,,16107200.0,ns,28
simple_insert,planck_ecs,,,,17719900.0,ns,30
simple_insert,planck_ecs,,,,19175000.0,ns,32
simple_insert,planck_ecs,,,,20079100.0,ns,34
simple_insert,planck_ecs,,,,21283500.0,ns,36
simple_insert,planck_ecs,,,,22096000.0,ns,38
simple_insert,planck_ecs,,,,23487300.0,ns,40
simple_insert,planck_ecs,,,,25037100.0,ns,42
simple_insert,planck_ecs,,,,25955300.0,ns,44
simple_insert,planck_ecs,,,,27496800.0,ns,46
simple_insert,planck_ecs,,,,28668900.0,ns,48
simple_insert,planck_ecs,,,,30086600.0,ns,50
simple_insert,planck_ecs,,,,30934800.0,ns,52
simple_insert,planck_ecs,,,,31808000.0,ns,54
simple_insert,planck_ecs,,,,35828100.0,ns,56
simple_insert,planck_ecs,,,,34162700.0,ns,58
simple_insert,planck_ecs,,,,35735400.0,ns,60
simple_insert,planck_ecs,,,,37869300.0,ns,62
simple_insert,planck_ecs,,,,37601500.0,ns,64
simple_insert,planck_ecs,,,,40060200.0,ns,66
simple_insert,planck_ecs,,,,44185300.0,ns,68
simple_insert,planck_ecs,,,,47061200.0,ns,70
simple_insert,planck_ecs,,,,47718800.0,ns,72
simple_insert,planck_ecs,,,,45707500.0,ns,74
simple_insert,planck_ecs,,,,47202300.0,ns,76
simple_insert,planck_ecs,,,,46343300.0,ns,78
simple_insert,planck_ecs,,,,46322100.0,ns,80
simple_insert,planck_ecs,,,,50906500.0,ns,82
simple_insert,planck_ecs,,,,49080900.0,ns,84
simple_insert,planck_ecs,,,,50674500.0,ns,86
simple_insert,planck_ecs,,,,53336600.0,ns,88
simple_insert,planck_ecs,,,,53219800.0,ns,90
simple_insert,planck_ecs,,,,54000500.0,ns,92
simple_insert,planck_ecs,,,,55492000.0,ns,94
simple_insert,planck_ecs,,,,57155600.0,ns,96
simple_insert,planck_ecs,,,,58100400.0,ns,98
simple_insert,planck_ecs,,,,59904000.0,ns,100
simple_insert,planck_ecs,,,,60164400.0,ns,102
simple_insert,planck_ecs,,,,62345900.0,ns,104
simple_insert,planck_ecs,,,,69311700.0,ns,106
simple_insert,planck_ecs,,,,69773500.0,ns,108
simple_insert,planck_ecs,,,,71711300.0,ns,110
simple_insert,planck_ecs,,,,68302400.0,ns,112
simple_insert,planck_ecs,,,,67318000.0,ns,114
simple_insert,planck_ecs,,,,69906600.0,ns,116
simple_insert,planck_ecs,,,,71069100.0,ns,118
simple_insert,planck_ecs,,,,72994500.0,ns,120
simple_insert,planck_ecs,,,,73786600.0,ns,122
simple_insert,planck_ecs,,,,72662500.0,ns,124
simple_insert,planck_ecs,,,,75863800.0,ns,126
simple_insert,planck_ecs,,,,76893500.0,ns,128
simple_insert,planck_ecs,,,,78216600.0,ns,130
simple_insert,planck_ecs,,,,80514300.0,ns,132
simple_insert,planck_ecs,,,,86891000.0,ns,134
simple_insert,planck_ecs,,,,86002500.0,ns,136
simple_insert,planck_ecs,,,,85632200.0,ns,138
simple_insert,planck_ecs,,,,82740300.0,ns,140
simple_insert,planck_ecs,,,,86744100.0,ns,142
simple_insert,planck_ecs,,,,87816600.0,ns,144
simple_insert,planck_ecs,,,,87286600.0,ns,146
simple_insert,planck_ecs,,,,87387400.0,ns,148
simple_insert,planck_ecs,,,,89047500.0,ns,150
simple_insert,planck_ecs,,,,89494300.0,ns,152
simple_insert,planck_ecs,,,,92036400.0,ns,154
simple_insert,planck_ecs,,,,98530400.0,ns,156
simple_insert,planck_ecs,,,,100005700.0,ns,158
simple_insert,planck_ecs,,,,100200100.0,ns,160
simple_insert,planck_ecs,,,,96733100.0,ns,162
simple_insert,planck_ecs,,,,96841900.0,ns,164
simple_insert,planck_ecs,,,,97701700.0,ns,166
simple_insert,planck_ecs,,,,101645500.0,ns,168
simple_insert,planck_ecs,,,,100722300.0,ns,170
simple_insert,planck_ecs,,,,103037500.0,ns,172
simple_insert,planck_ecs,,,,103423900.0,ns,174
simple_insert,planck_ecs,,,,113216000.0,ns,176
simple_insert,planck_ecs,,,,113004300.0,ns,178
simple_insert,planck_ecs,,,,108116400.0,ns,180
simple_insert,planck_ecs,,,,109129800.0,ns,182
simple_insert,planck_ecs,,,,112422300.0,ns,184
simple_insert,planck_ecs,,,,124201600.0,ns,186
simple_insert,planck_ecs,,,,117716200.0,ns,188
simple_insert,planck_ecs,,,,113423500.0,ns,190
simple_insert,planck_ecs,,,,114525400.0,ns,192
simple_insert,planck_ecs,,,,123878500.0,ns,194
simple_insert,planck_ecs,,,,124077600.0,ns,196
simple_insert,planck_ecs,,,,117982400.0,ns,198
simple_insert,planck_ecs,,,,118050500.0,ns,200
