group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,1177038.0,ns,1
simple_insert,shipyard,,,,2399944.0,ns,2
simple_insert,shipyard,,,,3531345.0,ns,3
simple_insert,shipyard,,,,4604294.0,ns,4
simple_insert,shipyard,,,,5755277.0,ns,5
simple_insert,shipyard,,,,6860903.0,ns,6
simple_insert,shipyard,,,,8054474.0,ns,7
simple_insert,shipyard,,,,9177435.0,ns,8
simple_insert,shipyard,,,,10377061.0,ns,9
simple_insert,shipyard,,,,12120684.0,ns,10
simple_insert,shipyard,,,,13071435.0,ns,11
simple_insert,shipyard,,,,13652936.0,ns,12
simple_insert,shipyard,,,,14893556.0,ns,13
simple_insert,shipyard,,,,16065179.0,ns,14
simple_insert,shipyard,,,,17193044.0,ns,15
simple_insert,shipyard,,,,18321766.0,ns,16
simple_insert,shipyard,,,,19853949.0,ns,17
simple_insert,shipyard,,,,20759024.0,ns,18
simple_insert,shipyard,,,,21930516.0,ns,19
simple_insert,shipyard,,,,23205084.0,ns,20
simple_insert,shipyard,,,,24440266.0,ns,21
simple_insert,shipyard,,,,25454518.0,ns,22
simple_insert,shipyard,,,,27107143.0,ns,23
simple_insert,shipyard,,,,27531238.0,ns,24
simple_insert,shipyard,,,,28966602.0,ns,25
simple_insert,shipyard,,,,29950555.0,ns,26
simple_insert,shipyard,,,,30972320.0,ns,27
simple_insert,shipyard,,,,32390528.0,ns,28
simple_insert,shipyard,,,,33508168.0,ns,29
simple_insert,shipyard,,,,34953411.0,ns,30
simple_insert,shipyard,,,,36980167.0,ns,31
simple_insert,shipyard,,,,37082364.0,ns,32
simple_insert,shipyard,,,,38535567.0,ns,33
simple_insert,shipyard,,,,39462230.0,ns,34
simple_insert,shipyard,,,,40345485.0,ns,35
simple_insert,shipyard,,,,41524706.0,ns,36
simple_insert,shipyard,,,,42827313.0,ns,37
simple_insert,shipyard,,,,44775901.0,ns,38
simple_insert,shipyard,,,,45544419.0,ns,39
simple_insert,shipyard,,,,71567659.0,ns,40
simple_insert,shipyard,,,,51170680.0,ns,41
simple_insert,shipyard,,,,49170026.0,ns,42
simple_insert,shipyard,,,,49990349.0,ns,43
simple_insert,shipyard,,,,50700736.0,ns,44
simple_insert,shipyard,,,,52382887.0,ns,45
simple_insert,shipyard,,,,53201641.0,ns,46
simple_insert,shipyard,,,,54371731.0,ns,47
simple_insert,shipyard,,,,55374368.0,ns,48
simple_insert,shipyard,,,,56392981.0,ns,49
simple_insert,shipyard,,,,57596306.0,ns,50
simple_insert,shipyard,,,,59236761.0,ns,51
simple_insert,shipyard,,,,60403685.0,ns,52
simple_insert,shipyard,,,,61655437.0,ns,53
simple_insert,shipyard,,,,62620942.0,ns,54
simple_insert,shipyard,,,,63069823.0,ns,55
simple_insert,shipyard,,,,64790621.0,ns,56
simple_insert,shipyard,,,,67192201.0,ns,57
simple_insert,shipyard,,,,66996703.0,ns,58
simple_insert,shipyard,,,,68136678.0,ns,59
simple_insert,shipyard,,,,68936216.0,ns,60
simple_insert,shipyard,,,,70843620.0,ns,61
simple_insert,shipyard,,,,72357425.0,ns,62
simple_insert,shipyard,,,,73347743.0,ns,63
simple_insert,shipyard,,,,75402518.0,ns,64
simple_insert,shipyard,,,,76464925.0,ns,65
simple_insert,shipyard,,,,77436149.0,ns,66
simple_insert,shipyard,,,,77952764.0,ns,67
simple_insert,shipyard,,,,79147588.0,ns,68
simple_insert,shipyard,,,,79870297.0,ns,69
simple_insert,shipyard,,,,81699267.0,ns,70
simple_insert,shipyard,,,,82265628.0,ns,71
simple_insert,shipyard,,,,83536824.0,ns,72
simple_insert,shipyard,,,,86025971.0,ns,73
simple_insert,shipyard,,,,85350995.0,ns,74
simple_insert,shipyard,,,,87591866.0,ns,75
simple_insert,shipyard,,,,89087880.0,ns,76
simple_insert,shipyard,,,,90345504.0,ns,77
simple_insert,shipyard,,,,91037256.0,ns,78
simple_insert,shipyard,,,,92016746.0,ns,79
simple_insert,shipyard,,,,93221556.0,ns,80
simple_insert,shipyard,,,,94768456.0,ns,81
simple_insert,shipyard,,,,95308167.0,ns,82
simple_insert,shipyard,,,,96462784.0,ns,83
simple_insert,shipyard,,,,98520332.0,ns,84
simple_insert,shipyard,,,,98223407.0,ns,85
simple_insert,shipyard,,,,101070873.0,ns,86
simple_insert,shipyard,,,,101025343.0,ns,87
simple_insert,shipyard,,,,102959414.0,ns,88
simple_insert,shipyard,,,,104325957.0,ns,89
simple_insert,shipyard,,,,103685117.0,ns,90
simple_insert,shipyard,,,,105433086.0,ns,91
simple_insert,shipyard,,,,106846061.0,ns,92
simple_insert,shipyard,,,,107642875.0,ns,93
simple_insert,shipyard,,,,109413699.0,ns,94
simple_insert,shipyard,,,,109981842.0,ns,95
simple_insert,shipyard,,,,112530543.0,ns,96
simple_insert,shipyard,,,,113500255.0,ns,97
simple_insert,shipyard,,,,114589657.0,ns,98
simple_insert,shipyard,,,,114190039.0,ns,99
simple_insert,shipyard,,,,116388686.0,ns,100
