group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,49450400.0,ns,20
simple_insert,shipyard,,,,54188300.0,ns,20
simple_insert,shipyard,,,,49445600.0,ns,20
simple_insert,shipyard,,,,48519900.0,ns,20
simple_insert,shipyard,,,,50331900.0,ns,20
simple_insert,shipyard,,,,49697600.0,ns,20
simple_insert,shipyard,,,,55008300.0,ns,20
simple_insert,shipyard,,,,49949700.0,ns,20
simple_insert,shipyard,,,,49400700.0,ns,20
simple_insert,shipyard,,,,49511600.0,ns,20
simple_insert,shipyard,,,,50003800.0,ns,20
simple_insert,shipyard,,,,49180900.0,ns,20
simple_insert,shipyard,,,,48296900.0,ns,20
simple_insert,shipyard,,,,49328000.0,ns,20
simple_insert,shipyard,,,,49227400.0,ns,20
simple_insert,shipyard,,,,48630400.0,ns,20
simple_insert,shipyard,,,,49177600.0,ns,20
simple_insert,shipyard,,,,49931300.0,ns,20
simple_insert,shipyard,,,,49666600.0,ns,20
simple_insert,shipyard,,,,49251300.0,ns,20
simple_insert,shipyard,,,,49324800.0,ns,20
simple_insert,shipyard,,,,48713400.0,ns,20
simple_insert,shipyard,,,,49582400.0,ns,20
simple_insert,shipyard,,,,48823300.0,ns,20
simple_insert,shipyard,,,,51001700.0,ns,20
simple_insert,shipyard,,,,48849400.0,ns,20
simple_insert,shipyard,,,,49257400.0,ns,20
simple_insert,shipyard,,,,49533300.0,ns,20
simple_insert,shipyard,,,,49823200.0,ns,20
simple_insert,shipyard,,,,49159800.0,ns,20
simple_insert,shipyard,,,,48307800.0,ns,20
simple_insert,shipyard,,,,48345400.0,ns,20
simple_insert,shipyard,,,,49059700.0,ns,20
simple_insert,shipyard,,,,48685700.0,ns,20
simple_insert,shipyard,,,,48410400.0,ns,20
simple_insert,shipyard,,,,50159400.0,ns,20
simple_insert,shipyard,,,,48242900.0,ns,20
simple_insert,shipyard,,,,48914400.0,ns,20
simple_insert,shipyard,,,,54660700.0,ns,20
simple_insert,shipyard,,,,49047000.0,ns,20
simple_insert,shipyard,,,,48666400.0,ns,20
simple_insert,shipyard,,,,49639900.0,ns,20
simple_insert,shipyard,,,,49073500.0,ns,20
simple_insert,shipyard,,,,49123500.0,ns,20
simple_insert,shipyard,,,,49779800.0,ns,20
simple_insert,shipyard,,,,49447800.0,ns,20
simple_insert,shipyard,,,,48771200.0,ns,20
simple_insert,shipyard,,,,49004100.0,ns,20
simple_insert,shipyard,,,,56014000.0,ns,20
simple_insert,shipyard,,,,50374700.0,ns,20
simple_insert,shipyard,,,,49864400.0,ns,20
simple_insert,shipyard,,,,49524000.0,ns,20
simple_insert,shipyard,,,,48550400.0,ns,20
simple_insert,shipyard,,,,49552000.0,ns,20
simple_insert,shipyard,,,,48715900.0,ns,20
simple_insert,shipyard,,,,54848200.0,ns,20
simple_insert,shipyard,,,,52161100.0,ns,20
simple_insert,shipyard,,,,48588900.0,ns,20
simple_insert,shipyard,,,,48200800.0,ns,20
simple_insert,shipyard,,,,49276200.0,ns,20
simple_insert,shipyard,,,,48874900.0,ns,20
simple_insert,shipyard,,,,49392300.0,ns,20
simple_insert,shipyard,,,,49585900.0,ns,20
simple_insert,shipyard,,,,48435800.0,ns,20
simple_insert,shipyard,,,,54162100.0,ns,20
simple_insert,shipyard,,,,48988600.0,ns,20
simple_insert,shipyard,,,,52736100.0,ns,20
simple_insert,shipyard,,,,54300500.0,ns,20
simple_insert,shipyard,,,,51401000.0,ns,20
simple_insert,shipyard,,,,60064900.0,ns,20
simple_insert,shipyard,,,,49128000.0,ns,20
simple_insert,shipyard,,,,49217100.0,ns,20
simple_insert,shipyard,,,,48625800.0,ns,20
simple_insert,shipyard,,,,48521000.0,ns,20
simple_insert,shipyard,,,,49272600.0,ns,20
simple_insert,shipyard,,,,53045900.0,ns,20
simple_insert,shipyard,,,,48294600.0,ns,20
simple_insert,shipyard,,,,48701600.0,ns,20
simple_insert,shipyard,,,,48458000.0,ns,20
simple_insert,shipyard,,,,48791500.0,ns,20
simple_insert,shipyard,,,,49953500.0,ns,20
simple_insert,shipyard,,,,49864900.0,ns,20
simple_insert,shipyard,,,,48910400.0,ns,20
simple_insert,shipyard,,,,49319500.0,ns,20
simple_insert,shipyard,,,,50938500.0,ns,20
simple_insert,shipyard,,,,52330800.0,ns,20
simple_insert,shipyard,,,,49311000.0,ns,20
simple_insert,shipyard,,,,49186100.0,ns,20
simple_insert,shipyard,,,,49071700.0,ns,20
simple_insert,shipyard,,,,50855300.0,ns,20
simple_insert,shipyard,,,,50002400.0,ns,20
simple_insert,shipyard,,,,48912200.0,ns,20
simple_insert,shipyard,,,,48793100.0,ns,20
simple_insert,shipyard,,,,48740500.0,ns,20
simple_insert,shipyard,,,,48757300.0,ns,20
simple_insert,shipyard,,,,47742000.0,ns,20
simple_insert,shipyard,,,,48581900.0,ns,20
simple_insert,shipyard,,,,47980200.0,ns,20
simple_insert,shipyard,,,,49077300.0,ns,20
simple_insert,shipyard,,,,48485900.0,ns,20
