group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,1629600.0,ns,1
simple_insert,specs,,,,3214500.0,ns,2
simple_insert,specs,,,,4860900.0,ns,3
simple_insert,specs,,,,6478900.0,ns,4
simple_insert,specs,,,,8080400.0,ns,5
simple_insert,specs,,,,9585900.0,ns,6
simple_insert,specs,,,,11182800.0,ns,7
simple_insert,specs,,,,13457400.0,ns,8
simple_insert,specs,,,,14394900.0,ns,9
simple_insert,specs,,,,16121400.0,ns,10
simple_insert,specs,,,,17758200.0,ns,11
simple_insert,specs,,,,19176500.0,ns,12
simple_insert,specs,,,,20898200.0,ns,13
simple_insert,specs,,,,22376900.0,ns,14
simple_insert,specs,,,,24675600.0,ns,15
simple_insert,specs,,,,25696500.0,ns,16
simple_insert,specs,,,,27839400.0,ns,17
simple_insert,specs,,,,28957700.0,ns,18
simple_insert,specs,,,,30531100.0,ns,19
simple_insert,specs,,,,32263000.0,ns,20
simple_insert,specs,,,,34376200.0,ns,21
simple_insert,specs,,,,35689500.0,ns,22
simple_insert,specs,,,,37490500.0,ns,23
simple_insert,specs,,,,39546600.0,ns,24
simple_insert,specs,,,,39957200.0,ns,25
simple_insert,specs,,,,42401200.0,ns,26
simple_insert,specs,,,,43747000.0,ns,27
simple_insert,specs,,,,46092900.0,ns,28
simple_insert,specs,,,,46546400.0,ns,29
simple_insert,specs,,,,48042400.0,ns,30
simple_insert,specs,,,,50643600.0,ns,31
simple_insert,specs,,,,52052500.0,ns,32
simple_insert,specs,,,,52962100.0,ns,33
simple_insert,specs,,,,55147500.0,ns,34
simple_insert,specs,,,,56394200.0,ns,35
simple_insert,specs,,,,58208100.0,ns,36
simple_insert,specs,,,,59483600.0,ns,37
simple_insert,specs,,,,61862400.0,ns,38
simple_insert,specs,,,,63475500.0,ns,39
simple_insert,specs,,,,64564600.0,ns,40
simple_insert,specs,,,,66516100.0,ns,41
simple_insert,specs,,,,68840900.0,ns,42
simple_insert,specs,,,,69866400.0,ns,43
simple_insert,specs,,,,70764200.0,ns,44
simple_insert,specs,,,,73273600.0,ns,45
simple_insert,specs,,,,74040900.0,ns,46
simple_insert,specs,,,,76248000.0,ns,47
simple_insert,specs,,,,77842700.0,ns,48
simple_insert,specs,,,,79561300.0,ns,49
simple_insert,specs,,,,80754800.0,ns,50
simple_insert,specs,,,,82877200.0,ns,51
simple_insert,specs,,,,83416500.0,ns,52
simple_insert,specs,,,,85690600.0,ns,53
simple_insert,specs,,,,87967400.0,ns,54
simple_insert,specs,,,,90154800.0,ns,55
simple_insert,specs,,,,90353800.0,ns,56
simple_insert,specs,,,,92335900.0,ns,57
simple_insert,specs,,,,93901700.0,ns,58
simple_insert,specs,,,,95278500.0,ns,59
simple_insert,specs,,,,96899100.0,ns,60
simple_insert,specs,,,,98185800.0,ns,61
simple_insert,specs,,,,100253600.0,ns,62
simple_insert,specs,,,,101985900.0,ns,63
simple_insert,specs,,,,103740100.0,ns,64
simple_insert,specs,,,,107172000.0,ns,65
simple_insert,specs,,,,106409200.0,ns,66
simple_insert,specs,,,,110925000.0,ns,67
simple_insert,specs,,,,109718100.0,ns,68
simple_insert,specs,,,,116217800.0,ns,69
simple_insert,specs,,,,113002300.0,ns,70
simple_insert,specs,,,,114356900.0,ns,71
simple_insert,specs,,,,120256300.0,ns,72
simple_insert,specs,,,,118304900.0,ns,73
simple_insert,specs,,,,121168500.0,ns,74
simple_insert,specs,,,,121041200.0,ns,75
simple_insert,specs,,,,126395800.0,ns,76
simple_insert,specs,,,,124643800.0,ns,77
simple_insert,specs,,,,126078400.0,ns,78
simple_insert,specs,,,,127522500.0,ns,79
simple_insert,specs,,,,129509800.0,ns,80
simple_insert,specs,,,,130549400.0,ns,81
simple_insert,specs,,,,134364600.0,ns,82
simple_insert,specs,,,,133685100.0,ns,83
simple_insert,specs,,,,135971000.0,ns,84
simple_insert,specs,,,,137336100.0,ns,85
simple_insert,specs,,,,138770400.0,ns,86
simple_insert,specs,,,,140814300.0,ns,87
simple_insert,specs,,,,142477000.0,ns,88
simple_insert,specs,,,,145281500.0,ns,89
simple_insert,specs,,,,146606700.0,ns,90
simple_insert,specs,,,,148054500.0,ns,91
simple_insert,specs,,,,149339800.0,ns,92
simple_insert,specs,,,,150646600.0,ns,93
simple_insert,specs,,,,152622200.0,ns,94
simple_insert,specs,,,,153313500.0,ns,95
simple_insert,specs,,,,156165100.0,ns,96
simple_insert,specs,,,,156446900.0,ns,97
simple_insert,specs,,,,158711900.0,ns,98
simple_insert,specs,,,,160116500.0,ns,99
simple_insert,specs,,,,161843600.0,ns,100
