group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,1268609.0,ns,1
simple_insert,specs,,,,2529163.0,ns,2
simple_insert,specs,,,,3777845.0,ns,3
simple_insert,specs,,,,5056022.0,ns,4
simple_insert,specs,,,,6311396.0,ns,5
simple_insert,specs,,,,7593941.0,ns,6
simple_insert,specs,,,,8831432.0,ns,7
simple_insert,specs,,,,10126180.0,ns,8
simple_insert,specs,,,,11393487.0,ns,9
simple_insert,specs,,,,12607694.0,ns,10
simple_insert,specs,,,,13889777.0,ns,11
simple_insert,specs,,,,15232478.0,ns,12
simple_insert,specs,,,,16407218.0,ns,13
simple_insert,specs,,,,17689103.0,ns,14
simple_insert,specs,,,,18921153.0,ns,15
simple_insert,specs,,,,20243084.0,ns,16
simple_insert,specs,,,,21492827.0,ns,17
simple_insert,specs,,,,22674118.0,ns,18
simple_insert,specs,,,,23983678.0,ns,19
simple_insert,specs,,,,25200536.0,ns,20
simple_insert,specs,,,,26503843.0,ns,21
simple_insert,specs,,,,27749096.0,ns,22
simple_insert,specs,,,,28977100.0,ns,23
simple_insert,specs,,,,30305272.0,ns,24
simple_insert,specs,,,,31536570.0,ns,25
simple_insert,specs,,,,32818024.0,ns,26
simple_insert,specs,,,,34613488.0,ns,27
simple_insert,specs,,,,35507523.0,ns,28
simple_insert,specs,,,,36632308.0,ns,29
simple_insert,specs,,,,37885979.0,ns,30
simple_insert,specs,,,,39179646.0,ns,31
simple_insert,specs,,,,40412817.0,ns,32
simple_insert,specs,,,,41717716.0,ns,33
simple_insert,specs,,,,42923375.0,ns,34
simple_insert,specs,,,,44219676.0,ns,35
simple_insert,specs,,,,45491713.0,ns,36
simple_insert,specs,,,,46744621.0,ns,37
simple_insert,specs,,,,48022639.0,ns,38
simple_insert,specs,,,,49268525.0,ns,39
simple_insert,specs,,,,50521484.0,ns,40
simple_insert,specs,,,,51782630.0,ns,41
simple_insert,specs,,,,53036871.0,ns,42
simple_insert,specs,,,,54326931.0,ns,43
simple_insert,specs,,,,55529604.0,ns,44
simple_insert,specs,,,,56700989.0,ns,45
simple_insert,specs,,,,57962894.0,ns,46
simple_insert,specs,,,,59225844.0,ns,47
simple_insert,specs,,,,61228982.0,ns,48
simple_insert,specs,,,,61852011.0,ns,49
simple_insert,specs,,,,63184974.0,ns,50
simple_insert,specs,,,,64402375.0,ns,51
simple_insert,specs,,,,65613223.0,ns,52
simple_insert,specs,,,,66761233.0,ns,53
simple_insert,specs,,,,68251655.0,ns,54
simple_insert,specs,,,,69528338.0,ns,55
simple_insert,specs,,,,70540600.0,ns,56
simple_insert,specs,,,,71911023.0,ns,57
simple_insert,specs,,,,73219790.0,ns,58
simple_insert,specs,,,,74533714.0,ns,59
simple_insert,specs,,,,75766817.0,ns,60
simple_insert,specs,,,,77061436.0,ns,61
simple_insert,specs,,,,78346045.0,ns,62
simple_insert,specs,,,,80057679.0,ns,63
simple_insert,specs,,,,80621433.0,ns,64
simple_insert,specs,,,,81925661.0,ns,65
simple_insert,specs,,,,83330521.0,ns,66
simple_insert,specs,,,,84387456.0,ns,67
simple_insert,specs,,,,86346119.0,ns,68
simple_insert,specs,,,,87097734.0,ns,69
simple_insert,specs,,,,88256423.0,ns,70
simple_insert,specs,,,,89435421.0,ns,71
simple_insert,specs,,,,90708710.0,ns,72
simple_insert,specs,,,,91987639.0,ns,73
simple_insert,specs,,,,93897151.0,ns,74
simple_insert,specs,,,,94548321.0,ns,75
simple_insert,specs,,,,95795139.0,ns,76
simple_insert,specs,,,,97008695.0,ns,77
simple_insert,specs,,,,98294685.0,ns,78
simple_insert,specs,,,,99565951.0,ns,79
simple_insert,specs,,,,100797427.0,ns,80
simple_insert,specs,,,,102338447.0,ns,81
simple_insert,specs,,,,103415521.0,ns,82
simple_insert,specs,,,,104582104.0,ns,83
simple_insert,specs,,,,106625452.0,ns,84
simple_insert,specs,,,,107284960.0,ns,85
simple_insert,specs,,,,108298062.0,ns,86
simple_insert,specs,,,,109715676.0,ns,87
simple_insert,specs,,,,111103651.0,ns,88
simple_insert,specs,,,,112142101.0,ns,89
simple_insert,specs,,,,113433985.0,ns,90
simple_insert,specs,,,,114810941.0,ns,91
simple_insert,specs,,,,115848180.0,ns,92
simple_insert,specs,,,,117962740.0,ns,93
simple_insert,specs,,,,118414614.0,ns,94
simple_insert,specs,,,,119711646.0,ns,95
simple_insert,specs,,,,120896026.0,ns,96
simple_insert,specs,,,,122320590.0,ns,97
simple_insert,specs,,,,123515951.0,ns,98
simple_insert,specs,,,,124740705.0,ns,99
simple_insert,specs,,,,126158250.0,ns,100
