group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,1007616.0,ns,73
simple_iter,bevy,,,,2654453.0,ns,146
simple_iter,bevy,,,,2884188.0,ns,219
simple_iter,bevy,,,,3911032.0,ns,292
simple_iter,bevy,,,,4994542.0,ns,365
simple_iter,bevy,,,,6002969.0,ns,438
simple_iter,bevy,,,,6791766.0,ns,511
simple_iter,bevy,,,,7812196.0,ns,584
simple_iter,bevy,,,,9816190.0,ns,657
simple_iter,bevy,,,,10169944.0,ns,730
simple_iter,bevy,,,,11414904.0,ns,803
simple_iter,bevy,,,,11835006.0,ns,876
simple_iter,bevy,,,,12747998.0,ns,949
simple_iter,bevy,,,,14259136.0,ns,1022
simple_iter,bevy,,,,14934628.0,ns,1095
simple_iter,bevy,,,,15982741.0,ns,1168
simple_iter,bevy,,,,16843646.0,ns,1241
simple_iter,bevy,,,,17627663.0,ns,1314
simple_iter,bevy,,,,19008739.0,ns,1387
simple_iter,bevy,,,,20025336.0,ns,1460
simple_iter,bevy,,,,26158258.0,ns,1533
simple_iter,bevy,,,,21912675.0,ns,1606
simple_iter,bevy,,,,22878050.0,ns,1679
simple_iter,bevy,,,,23594324.0,ns,1752
simple_iter,bevy,,,,25499791.0,ns,1825
simple_iter,bevy,,,,25837205.0,ns,1898
simple_iter,bevy,,,,26586827.0,ns,1971
simple_iter,bevy,,,,27555727.0,ns,2044
simple_iter,bevy,,,,28520325.0,ns,2117
simple_iter,bevy,,,,29617275.0,ns,2190
simple_iter,bevy,,,,30688647.0,ns,2263
simple_iter,bevy,,,,31620231.0,ns,2336
simple_iter,bevy,,,,32159916.0,ns,2409
simple_iter,bevy,,,,33287163.0,ns,2482
simple_iter,bevy,,,,34200187.0,ns,2555
simple_iter,bevy,,,,35545078.0,ns,2628
simple_iter,bevy,,,,36693664.0,ns,2701
simple_iter,bevy,,,,38065788.0,ns,2774
simple_iter,bevy,,,,40041758.0,ns,2847
simple_iter,bevy,,,,39619128.0,ns,2920
simple_iter,bevy,,,,42425421.0,ns,2993
simple_iter,bevy,,,,42196866.0,ns,3066
simple_iter,bevy,,,,44012313.0,ns,3139
simple_iter,bevy,,,,43880072.0,ns,3212
simple_iter,bevy,,,,45778945.0,ns,3285
simple_iter,bevy,,,,46066322.0,ns,3358
simple_iter,bevy,,,,46488772.0,ns,3431
simple_iter,bevy,,,,46949679.0,ns,3504
simple_iter,bevy,,,,48291931.0,ns,3577
simple_iter,bevy,,,,49499875.0,ns,3650
simple_iter,bevy,,,,50242987.0,ns,3723
simple_iter,bevy,,,,52236408.0,ns,3796
simple_iter,bevy,,,,52878652.0,ns,3869
simple_iter,bevy,,,,53983585.0,ns,3942
simple_iter,bevy,,,,55101628.0,ns,4015
simple_iter,bevy,,,,55490865.0,ns,4088
simple_iter,bevy,,,,57081931.0,ns,4161
simple_iter,bevy,,,,58307635.0,ns,4234
simple_iter,bevy,,,,58369963.0,ns,4307
simple_iter,bevy,,,,60235214.0,ns,4380
simple_iter,bevy,,,,60337203.0,ns,4453
simple_iter,bevy,,,,61864741.0,ns,4526
simple_iter,bevy,,,,62900970.0,ns,4599
simple_iter,bevy,,,,64233435.0,ns,4672
simple_iter,bevy,,,,64720887.0,ns,4745
simple_iter,bevy,,,,66070511.0,ns,4818
simple_iter,bevy,,,,66680205.0,ns,4891
simple_iter,bevy,,,,68380688.0,ns,4964
simple_iter,bevy,,,,68253170.0,ns,5037
simple_iter,bevy,,,,69413070.0,ns,5110
simple_iter,bevy,,,,70908480.0,ns,5183
simple_iter,bevy,,,,71967458.0,ns,5256
simple_iter,bevy,,,,72682835.0,ns,5329
simple_iter,bevy,,,,73193143.0,ns,5402
simple_iter,bevy,,,,75287918.0,ns,5475
simple_iter,bevy,,,,76108930.0,ns,5548
simple_iter,bevy,,,,76995394.0,ns,5621
simple_iter,bevy,,,,78322418.0,ns,5694
simple_iter,bevy,,,,77399058.0,ns,5767
simple_iter,bevy,,,,76625366.0,ns,5840
simple_iter,bevy,,,,77995870.0,ns,5913
simple_iter,bevy,,,,78071509.0,ns,5986
simple_iter,bevy,,,,80112454.0,ns,6059
simple_iter,bevy,,,,80664283.0,ns,6132
simple_iter,bevy,,,,81832372.0,ns,6205
simple_iter,bevy,,,,82491418.0,ns,6278
simple_iter,bevy,,,,83085235.0,ns,6351
simple_iter,bevy,,,,84987666.0,ns,6424
simple_iter,bevy,,,,85726293.0,ns,6497
simple_iter,bevy,,,,86656124.0,ns,6570
simple_iter,bevy,,,,87754303.0,ns,6643
simple_iter,bevy,,,,88212612.0,ns,6716
simple_iter,bevy,,,,89233249.0,ns,6789
simple_iter,bevy,,,,91245620.0,ns,6862
simple_iter,bevy,,,,91603078.0,ns,6935
simple_iter,bevy,,,,92493650.0,ns,7008
simple_iter,bevy,,,,93039738.0,ns,7081
simple_iter,bevy,,,,94107491.0,ns,7154
simple_iter,bevy,,,,97996653.0,ns,7227
simple_iter,bevy,,,,100197187.0,ns,7300
