group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,984200.0,ns,70
simple_iter,bevy,,,,1999600.0,ns,140
simple_iter,bevy,,,,2995300.0,ns,210
simple_iter,bevy,,,,3991200.0,ns,280
simple_iter,bevy,,,,4933300.0,ns,350
simple_iter,bevy,,,,5839400.0,ns,420
simple_iter,bevy,,,,7101800.0,ns,490
simple_iter,bevy,,,,8135200.0,ns,560
simple_iter,bevy,,,,9017400.0,ns,630
simple_iter,bevy,,,,9902700.0,ns,700
simple_iter,bevy,,,,10941600.0,ns,770
simple_iter,bevy,,,,12006700.0,ns,840
simple_iter,bevy,,,,12969900.0,ns,910
simple_iter,bevy,,,,14023800.0,ns,980
simple_iter,bevy,,,,14994600.0,ns,1050
simple_iter,bevy,,,,16053200.0,ns,1120
simple_iter,bevy,,,,16841700.0,ns,1190
simple_iter,bevy,,,,17821200.0,ns,1260
simple_iter,bevy,,,,18961900.0,ns,1330
simple_iter,bevy,,,,19747300.0,ns,1400
simple_iter,bevy,,,,20803000.0,ns,1470
simple_iter,bevy,,,,21862700.0,ns,1540
simple_iter,bevy,,,,22819600.0,ns,1610
simple_iter,bevy,,,,23821500.0,ns,1680
simple_iter,bevy,,,,24765800.0,ns,1750
simple_iter,bevy,,,,25538400.0,ns,1820
simple_iter,bevy,,,,26634000.0,ns,1890
simple_iter,bevy,,,,27337100.0,ns,1960
simple_iter,bevy,,,,28387500.0,ns,2030
simple_iter,bevy,,,,29406000.0,ns,2100
simple_iter,bevy,,,,30310000.0,ns,2170
simple_iter,bevy,,,,31508200.0,ns,2240
simple_iter,bevy,,,,32320000.0,ns,2310
simple_iter,bevy,,,,33634500.0,ns,2380
simple_iter,bevy,,,,35437000.0,ns,2450
simple_iter,bevy,,,,35641800.0,ns,2520
simple_iter,bevy,,,,36078400.0,ns,2590
simple_iter,bevy,,,,37108200.0,ns,2660
simple_iter,bevy,,,,38230900.0,ns,2730
simple_iter,bevy,,,,39501600.0,ns,2800
simple_iter,bevy,,,,39953600.0,ns,2870
simple_iter,bevy,,,,40982400.0,ns,2940
simple_iter,bevy,,,,42153200.0,ns,3010
simple_iter,bevy,,,,43236600.0,ns,3080
simple_iter,bevy,,,,45001000.0,ns,3150
simple_iter,bevy,,,,45399900.0,ns,3220
simple_iter,bevy,,,,46561900.0,ns,3290
simple_iter,bevy,,,,47159100.0,ns,3360
simple_iter,bevy,,,,48259100.0,ns,3430
simple_iter,bevy,,,,49749500.0,ns,3500
simple_iter,bevy,,,,50211300.0,ns,3570
simple_iter,bevy,,,,50778500.0,ns,3640
simple_iter,bevy,,,,51686900.0,ns,3710
simple_iter,bevy,,,,53440800.0,ns,3780
simple_iter,bevy,,,,56156700.0,ns,3850
simple_iter,bevy,,,,55554800.0,ns,3920
simple_iter,bevy,,,,55984200.0,ns,3990
simple_iter,bevy,,,,56664400.0,ns,4060
simple_iter,bevy,,,,57959000.0,ns,4130
simple_iter,bevy,,,,60474800.0,ns,4200
simple_iter,bevy,,,,60001900.0,ns,4270
simple_iter,bevy,,,,60475800.0,ns,4340
simple_iter,bevy,,,,62905900.0,ns,4410
simple_iter,bevy,,,,63430100.0,ns,4480
simple_iter,bevy,,,,64268500.0,ns,4550
simple_iter,bevy,,,,65208700.0,ns,4620
simple_iter,bevy,,,,66473300.0,ns,4690
simple_iter,bevy,,,,66780700.0,ns,4760
simple_iter,bevy,,,,67548900.0,ns,4830
simple_iter,bevy,,,,68260500.0,ns,4900
simple_iter,bevy,,,,71108400.0,ns,4970
simple_iter,bevy,,,,70833700.0,ns,5040
simple_iter,bevy,,,,71148300.0,ns,5110
simple_iter,bevy,,,,72458600.0,ns,5180
simple_iter,bevy,,,,73948600.0,ns,5250
simple_iter,bevy,,,,74202400.0,ns,5320
simple_iter,bevy,,,,75224400.0,ns,5390
simple_iter,bevy,,,,77747000.0,ns,5460
simple_iter,bevy,,,,78075200.0,ns,5530
simple_iter,bevy,,,,79450200.0,ns,5600
simple_iter,bevy,,,,80614400.0,ns,5670
simple_iter,bevy,,,,80913900.0,ns,5740
simple_iter,bevy,,,,80941800.0,ns,5810
simple_iter,bevy,,,,82830100.0,ns,5880
simple_iter,bevy,,,,82694700.0,ns,5950
simple_iter,bevy,,,,85216000.0,ns,6020
simple_iter,bevy,,,,85342800.0,ns,6090
simple_iter,bevy,,,,88138900.0,ns,6160
simple_iter,bevy,,,,87423500.0,ns,6230
simple_iter,bevy,,,,89880200.0,ns,6300
simple_iter,bevy,,,,90391700.0,ns,6370
simple_iter,bevy,,,,91895000.0,ns,6440
simple_iter,bevy,,,,92108700.0,ns,6510
simple_iter,bevy,,,,92083100.0,ns,6580
simple_iter,bevy,,,,94674800.0,ns,6650
simple_iter,bevy,,,,95229200.0,ns,6720
simple_iter,bevy,,,,96147700.0,ns,6790
simple_iter,bevy,,,,96388900.0,ns,6860
simple_iter,bevy,,,,97237000.0,ns,6930
simple_iter,bevy,,,,98772500.0,ns,7000
