group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,brood,,,,991800.0,ns,115
simple_iter,brood,,,,1986800.0,ns,230
simple_iter,brood,,,,2974500.0,ns,345
simple_iter,brood,,,,3977200.0,ns,460
simple_iter,brood,,,,4947900.0,ns,575
simple_iter,brood,,,,6069800.0,ns,690
simple_iter,brood,,,,6901500.0,ns,805
simple_iter,brood,,,,7962600.0,ns,920
simple_iter,brood,,,,8797900.0,ns,1035
simple_iter,brood,,,,10089700.0,ns,1150
simple_iter,brood,,,,10775100.0,ns,1265
simple_iter,brood,,,,11722600.0,ns,1380
simple_iter,brood,,,,12980100.0,ns,1495
simple_iter,brood,,,,13861400.0,ns,1610
simple_iter,brood,,,,14788900.0,ns,1725
simple_iter,brood,,,,15728700.0,ns,1840
simple_iter,brood,,,,16672300.0,ns,1955
simple_iter,brood,,,,17625700.0,ns,2070
simple_iter,brood,,,,18620700.0,ns,2185
simple_iter,brood,,,,19613200.0,ns,2300
simple_iter,brood,,,,20609500.0,ns,2415
simple_iter,brood,,,,21556200.0,ns,2530
simple_iter,brood,,,,22566200.0,ns,2645
simple_iter,brood,,,,23580900.0,ns,2760
simple_iter,brood,,,,24529300.0,ns,2875
simple_iter,brood,,,,25522100.0,ns,2990
simple_iter,brood,,,,26786200.0,ns,3105
simple_iter,brood,,,,27548500.0,ns,3220
simple_iter,brood,,,,28607200.0,ns,3335
simple_iter,brood,,,,29450100.0,ns,3450
simple_iter,brood,,,,30974600.0,ns,3565
simple_iter,brood,,,,31888900.0,ns,3680
simple_iter,brood,,,,33244000.0,ns,3795
simple_iter,brood,,,,33437400.0,ns,3910
simple_iter,brood,,,,34788500.0,ns,4025
simple_iter,brood,,,,35647500.0,ns,4140
simple_iter,brood,,,,36293300.0,ns,4255
simple_iter,brood,,,,37247900.0,ns,4370
simple_iter,brood,,,,38261400.0,ns,4485
simple_iter,brood,,,,39216000.0,ns,4600
simple_iter,brood,,,,40529600.0,ns,4715
simple_iter,brood,,,,41234100.0,ns,4830
simple_iter,brood,,,,42555400.0,ns,4945
simple_iter,brood,,,,43362000.0,ns,5060
simple_iter,brood,,,,44745700.0,ns,5175
simple_iter,brood,,,,45298900.0,ns,5290
simple_iter,brood,,,,46292600.0,ns,5405
simple_iter,brood,,,,47072500.0,ns,5520
simple_iter,brood,,,,48190400.0,ns,5635
simple_iter,brood,,,,49338000.0,ns,5750
simple_iter,brood,,,,50722500.0,ns,5865
simple_iter,brood,,,,51223000.0,ns,5980
simple_iter,brood,,,,52192100.0,ns,6095
simple_iter,brood,,,,53116800.0,ns,6210
simple_iter,brood,,,,54114500.0,ns,6325
simple_iter,brood,,,,55173200.0,ns,6440
simple_iter,brood,,,,56049500.0,ns,6555
simple_iter,brood,,,,56983200.0,ns,6670
simple_iter,brood,,,,57867800.0,ns,6785
simple_iter,brood,,,,59174100.0,ns,6900
simple_iter,brood,,,,59799400.0,ns,7015
simple_iter,brood,,,,61046900.0,ns,7130
simple_iter,brood,,,,62152100.0,ns,7245
simple_iter,brood,,,,63088800.0,ns,7360
simple_iter,brood,,,,63971900.0,ns,7475
simple_iter,brood,,,,65143100.0,ns,7590
simple_iter,brood,,,,65782100.0,ns,7705
simple_iter,brood,,,,67033500.0,ns,7820
simple_iter,brood,,,,69126600.0,ns,7935
simple_iter,brood,,,,69314900.0,ns,8050
simple_iter,brood,,,,69768600.0,ns,8165
simple_iter,brood,,,,70618600.0,ns,8280
simple_iter,brood,,,,72018600.0,ns,8395
simple_iter,brood,,,,72903300.0,ns,8510
simple_iter,brood,,,,73598500.0,ns,8625
simple_iter,brood,,,,74703100.0,ns,8740
simple_iter,brood,,,,76981900.0,ns,8855
simple_iter,brood,,,,76508900.0,ns,8970
simple_iter,brood,,,,78610300.0,ns,9085
simple_iter,brood,,,,79138200.0,ns,9200
simple_iter,brood,,,,80060700.0,ns,9315
simple_iter,brood,,,,81343400.0,ns,9430
simple_iter,brood,,,,82335500.0,ns,9545
simple_iter,brood,,,,83120600.0,ns,9660
simple_iter,brood,,,,83671300.0,ns,9775
simple_iter,brood,,,,86010400.0,ns,9890
simple_iter,brood,,,,85512200.0,ns,10005
simple_iter,brood,,,,86604200.0,ns,10120
simple_iter,brood,,,,87928600.0,ns,10235
simple_iter,brood,,,,89089900.0,ns,10350
simple_iter,brood,,,,89584400.0,ns,10465
simple_iter,brood,,,,92365200.0,ns,10580
simple_iter,brood,,,,93501200.0,ns,10695
simple_iter,brood,,,,92506100.0,ns,10810
simple_iter,brood,,,,94185700.0,ns,10925
simple_iter,brood,,,,94735800.0,ns,11040
simple_iter,brood,,,,95294400.0,ns,11155
simple_iter,brood,,,,96444300.0,ns,11270
simple_iter,brood,,,,98383500.0,ns,11385
simple_iter,brood,,,,98419100.0,ns,11500
