group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,1140100.0,ns,83
simple_iter,hecs,,,,2002000.0,ns,166
simple_iter,hecs,,,,2991900.0,ns,249
simple_iter,hecs,,,,3986900.0,ns,332
simple_iter,hecs,,,,5100200.0,ns,415
simple_iter,hecs,,,,5976500.0,ns,498
simple_iter,hecs,,,,6969700.0,ns,581
simple_iter,hecs,,,,7948800.0,ns,664
simple_iter,hecs,,,,8929400.0,ns,747
simple_iter,hecs,,,,9927300.0,ns,830
simple_iter,hecs,,,,10926900.0,ns,913
simple_iter,hecs,,,,11936800.0,ns,996
simple_iter,hecs,,,,12961400.0,ns,1079
simple_iter,hecs,,,,13972200.0,ns,1162
simple_iter,hecs,,,,14960400.0,ns,1245
simple_iter,hecs,,,,15960800.0,ns,1328
simple_iter,hecs,,,,17057900.0,ns,1411
simple_iter,hecs,,,,17984600.0,ns,1494
simple_iter,hecs,,,,18968500.0,ns,1577
simple_iter,hecs,,,,19946400.0,ns,1660
simple_iter,hecs,,,,20966400.0,ns,1743
simple_iter,hecs,,,,21974000.0,ns,1826
simple_iter,hecs,,,,22973400.0,ns,1909
simple_iter,hecs,,,,23962500.0,ns,1992
simple_iter,hecs,,,,24946500.0,ns,2075
simple_iter,hecs,,,,25948000.0,ns,2158
simple_iter,hecs,,,,26937700.0,ns,2241
simple_iter,hecs,,,,27942900.0,ns,2324
simple_iter,hecs,,,,28972800.0,ns,2407
simple_iter,hecs,,,,29976000.0,ns,2490
simple_iter,hecs,,,,30924600.0,ns,2573
simple_iter,hecs,,,,31899400.0,ns,2656
simple_iter,hecs,,,,32933900.0,ns,2739
simple_iter,hecs,,,,33952600.0,ns,2822
simple_iter,hecs,,,,34921800.0,ns,2905
simple_iter,hecs,,,,35921300.0,ns,2988
simple_iter,hecs,,,,36960700.0,ns,3071
simple_iter,hecs,,,,37905100.0,ns,3154
simple_iter,hecs,,,,38928700.0,ns,3237
simple_iter,hecs,,,,39887000.0,ns,3320
simple_iter,hecs,,,,40883100.0,ns,3403
simple_iter,hecs,,,,41926100.0,ns,3486
simple_iter,hecs,,,,43088400.0,ns,3569
simple_iter,hecs,,,,43928600.0,ns,3652
simple_iter,hecs,,,,45017100.0,ns,3735
simple_iter,hecs,,,,45889500.0,ns,3818
simple_iter,hecs,,,,46949900.0,ns,3901
simple_iter,hecs,,,,47925500.0,ns,3984
simple_iter,hecs,,,,48914200.0,ns,4067
simple_iter,hecs,,,,49906500.0,ns,4150
simple_iter,hecs,,,,50899900.0,ns,4233
simple_iter,hecs,,,,51856500.0,ns,4316
simple_iter,hecs,,,,52936200.0,ns,4399
simple_iter,hecs,,,,53692600.0,ns,4482
simple_iter,hecs,,,,54839600.0,ns,4565
simple_iter,hecs,,,,55896600.0,ns,4648
simple_iter,hecs,,,,56909900.0,ns,4731
simple_iter,hecs,,,,57890300.0,ns,4814
simple_iter,hecs,,,,58905700.0,ns,4897
simple_iter,hecs,,,,59895200.0,ns,4980
simple_iter,hecs,,,,60867900.0,ns,5063
simple_iter,hecs,,,,61890000.0,ns,5146
simple_iter,hecs,,,,62870400.0,ns,5229
simple_iter,hecs,,,,63853700.0,ns,5312
simple_iter,hecs,,,,64883600.0,ns,5395
simple_iter,hecs,,,,65900500.0,ns,5478
simple_iter,hecs,,,,66850100.0,ns,5561
simple_iter,hecs,,,,67851300.0,ns,5644
simple_iter,hecs,,,,68862800.0,ns,5727
simple_iter,hecs,,,,69844800.0,ns,5810
simple_iter,hecs,,,,70826900.0,ns,5893
simple_iter,hecs,,,,71863800.0,ns,5976
simple_iter,hecs,,,,72824200.0,ns,6059
simple_iter,hecs,,,,73834700.0,ns,6142
simple_iter,hecs,,,,74822900.0,ns,6225
simple_iter,hecs,,,,75883400.0,ns,6308
simple_iter,hecs,,,,76837700.0,ns,6391
simple_iter,hecs,,,,77853800.0,ns,6474
simple_iter,hecs,,,,78806700.0,ns,6557
simple_iter,hecs,,,,79833900.0,ns,6640
simple_iter,hecs,,,,80854900.0,ns,6723
simple_iter,hecs,,,,81806200.0,ns,6806
simple_iter,hecs,,,,82818600.0,ns,6889
simple_iter,hecs,,,,83837300.0,ns,6972
simple_iter,hecs,,,,84830800.0,ns,7055
simple_iter,hecs,,,,85815600.0,ns,7138
simple_iter,hecs,,,,86820400.0,ns,7221
simple_iter,hecs,,,,87817300.0,ns,7304
simple_iter,hecs,,,,88815400.0,ns,7387
simple_iter,hecs,,,,89800800.0,ns,7470
simple_iter,hecs,,,,90790000.0,ns,7553
simple_iter,hecs,,,,91777300.0,ns,7636
simple_iter,hecs,,,,92914800.0,ns,7719
simple_iter,hecs,,,,93648200.0,ns,7802
simple_iter,hecs,,,,94537000.0,ns,7885
simple_iter,hecs,,,,95816000.0,ns,7968
simple_iter,hecs,,,,96800500.0,ns,8051
simple_iter,hecs,,,,97464200.0,ns,8134
simple_iter,hecs,,,,98802200.0,ns,8217
simple_iter,hecs,,,,99813800.0,ns,8300
