group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,993855.0,ns,75
simple_iter,hecs,,,,1996898.0,ns,150
simple_iter,hecs,,,,2989522.0,ns,225
simple_iter,hecs,,,,3988364.0,ns,300
simple_iter,hecs,,,,4977361.0,ns,375
simple_iter,hecs,,,,5940167.0,ns,450
simple_iter,hecs,,,,6969701.0,ns,525
simple_iter,hecs,,,,7977531.0,ns,600
simple_iter,hecs,,,,8949155.0,ns,675
simple_iter,hecs,,,,9932840.0,ns,750
simple_iter,hecs,,,,10929210.0,ns,825
simple_iter,hecs,,,,11919497.0,ns,900
simple_iter,hecs,,,,12932280.0,ns,975
simple_iter,hecs,,,,13926165.0,ns,1050
simple_iter,hecs,,,,14972359.0,ns,1125
simple_iter,hecs,,,,15940675.0,ns,1200
simple_iter,hecs,,,,16922537.0,ns,1275
simple_iter,hecs,,,,17892968.0,ns,1350
simple_iter,hecs,,,,18928222.0,ns,1425
simple_iter,hecs,,,,19880878.0,ns,1500
simple_iter,hecs,,,,20887006.0,ns,1575
simple_iter,hecs,,,,21877897.0,ns,1650
simple_iter,hecs,,,,22871211.0,ns,1725
simple_iter,hecs,,,,23877588.0,ns,1800
simple_iter,hecs,,,,24854963.0,ns,1875
simple_iter,hecs,,,,25856864.0,ns,1950
simple_iter,hecs,,,,26844477.0,ns,2025
simple_iter,hecs,,,,27867168.0,ns,2100
simple_iter,hecs,,,,28873025.0,ns,2175
simple_iter,hecs,,,,29833495.0,ns,2250
simple_iter,hecs,,,,30841557.0,ns,2325
simple_iter,hecs,,,,31814795.0,ns,2400
simple_iter,hecs,,,,32783209.0,ns,2475
simple_iter,hecs,,,,33828023.0,ns,2550
simple_iter,hecs,,,,34784145.0,ns,2625
simple_iter,hecs,,,,35798159.0,ns,2700
simple_iter,hecs,,,,36782056.0,ns,2775
simple_iter,hecs,,,,37797371.0,ns,2850
simple_iter,hecs,,,,38768784.0,ns,2925
simple_iter,hecs,,,,39762939.0,ns,3000
simple_iter,hecs,,,,40750783.0,ns,3075
simple_iter,hecs,,,,41766709.0,ns,3150
simple_iter,hecs,,,,42828505.0,ns,3225
simple_iter,hecs,,,,43700407.0,ns,3300
simple_iter,hecs,,,,44696736.0,ns,3375
simple_iter,hecs,,,,45669652.0,ns,3450
simple_iter,hecs,,,,46647286.0,ns,3525
simple_iter,hecs,,,,47738305.0,ns,3600
simple_iter,hecs,,,,48588017.0,ns,3675
simple_iter,hecs,,,,49605627.0,ns,3750
simple_iter,hecs,,,,50616503.0,ns,3825
simple_iter,hecs,,,,51558742.0,ns,3900
simple_iter,hecs,,,,52588976.0,ns,3975
simple_iter,hecs,,,,53578913.0,ns,4050
simple_iter,hecs,,,,54545065.0,ns,4125
simple_iter,hecs,,,,55588514.0,ns,4200
simple_iter,hecs,,,,56622206.0,ns,4275
simple_iter,hecs,,,,57853032.0,ns,4350
simple_iter,hecs,,,,58573356.0,ns,4425
simple_iter,hecs,,,,59574736.0,ns,4500
simple_iter,hecs,,,,60510679.0,ns,4575
simple_iter,hecs,,,,61508775.0,ns,4650
simple_iter,hecs,,,,62527685.0,ns,4725
simple_iter,hecs,,,,63461086.0,ns,4800
simple_iter,hecs,,,,64469498.0,ns,4875
simple_iter,hecs,,,,65509552.0,ns,4950
simple_iter,hecs,,,,66509479.0,ns,5025
simple_iter,hecs,,,,67503073.0,ns,5100
simple_iter,hecs,,,,68440250.0,ns,5175
simple_iter,hecs,,,,69448842.0,ns,5250
simple_iter,hecs,,,,70497993.0,ns,5325
simple_iter,hecs,,,,71385316.0,ns,5400
simple_iter,hecs,,,,72410039.0,ns,5475
simple_iter,hecs,,,,73422592.0,ns,5550
simple_iter,hecs,,,,74560660.0,ns,5625
simple_iter,hecs,,,,75506463.0,ns,5700
simple_iter,hecs,,,,76457318.0,ns,5775
simple_iter,hecs,,,,77493822.0,ns,5850
simple_iter,hecs,,,,78520660.0,ns,5925
simple_iter,hecs,,,,79459321.0,ns,6000
simple_iter,hecs,,,,80416975.0,ns,6075
simple_iter,hecs,,,,81378871.0,ns,6150
simple_iter,hecs,,,,82372323.0,ns,6225
simple_iter,hecs,,,,83344990.0,ns,6300
simple_iter,hecs,,,,84406253.0,ns,6375
simple_iter,hecs,,,,85630547.0,ns,6450
simple_iter,hecs,,,,86376529.0,ns,6525
simple_iter,hecs,,,,87315490.0,ns,6600
simple_iter,hecs,,,,88295609.0,ns,6675
simple_iter,hecs,,,,89285707.0,ns,6750
simple_iter,hecs,,,,90316613.0,ns,6825
simple_iter,hecs,,,,91311579.0,ns,6900
simple_iter,hecs,,,,92267753.0,ns,6975
simple_iter,hecs,,,,93254474.0,ns,7050
simple_iter,hecs,,,,94268607.0,ns,7125
simple_iter,hecs,,,,95483344.0,ns,7200
simple_iter,hecs,,,,96261328.0,ns,7275
simple_iter,hecs,,,,97395529.0,ns,7350
simple_iter,hecs,,,,98381150.0,ns,7425
simple_iter,hecs,,,,99391085.0,ns,7500
