group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion (packed),,,,1073200.0,ns,74
simple_iter,legion (packed),,,,2231100.0,ns,148
simple_iter,legion (packed),,,,3061700.0,ns,222
simple_iter,legion (packed),,,,4005300.0,ns,296
simple_iter,legion (packed),,,,5066100.0,ns,370
simple_iter,legion (packed),,,,6120100.0,ns,444
simple_iter,legion (packed),,,,7129100.0,ns,518
simple_iter,legion (packed),,,,8155500.0,ns,592
simple_iter,legion (packed),,,,9207300.0,ns,666
simple_iter,legion (packed),,,,10174900.0,ns,740
simple_iter,legion (packed),,,,11221700.0,ns,814
simple_iter,legion (packed),,,,12205600.0,ns,888
simple_iter,legion (packed),,,,13164200.0,ns,962
simple_iter,legion (packed),,,,14135500.0,ns,1036
simple_iter,legion (packed),,,,15230700.0,ns,1110
simple_iter,legion (packed),,,,16124500.0,ns,1184
simple_iter,legion (packed),,,,17252800.0,ns,1258
simple_iter,legion (packed),,,,18186000.0,ns,1332
simple_iter,legion (packed),,,,19268900.0,ns,1406
simple_iter,legion (packed),,,,20353600.0,ns,1480
simple_iter,legion (packed),,,,21312600.0,ns,1554
simple_iter,legion (packed),,,,22195000.0,ns,1628
simple_iter,legion (packed),,,,23429700.0,ns,1702
simple_iter,legion (packed),,,,24010300.0,ns,1776
simple_iter,legion (packed),,,,25007100.0,ns,1850
simple_iter,legion (packed),,,,25750900.0,ns,1924
simple_iter,legion (packed),,,,27825700.0,ns,1998
simple_iter,legion (packed),,,,29656800.0,ns,2072
simple_iter,legion (packed),,,,30546300.0,ns,2146
simple_iter,legion (packed),,,,31860200.0,ns,2220
simple_iter,legion (packed),,,,31134700.0,ns,2294
simple_iter,legion (packed),,,,31541600.0,ns,2368
simple_iter,legion (packed),,,,32553300.0,ns,2442
simple_iter,legion (packed),,,,33512400.0,ns,2516
simple_iter,legion (packed),,,,34395400.0,ns,2590
simple_iter,legion (packed),,,,37209200.0,ns,2664
simple_iter,legion (packed),,,,37382100.0,ns,2738
simple_iter,legion (packed),,,,38140100.0,ns,2812
simple_iter,legion (packed),,,,38851100.0,ns,2886
simple_iter,legion (packed),,,,40185800.0,ns,2960
simple_iter,legion (packed),,,,41566200.0,ns,3034
simple_iter,legion (packed),,,,41746600.0,ns,3108
simple_iter,legion (packed),,,,44985200.0,ns,3182
simple_iter,legion (packed),,,,50323000.0,ns,3256
simple_iter,legion (packed),,,,45145900.0,ns,3330
simple_iter,legion (packed),,,,46541000.0,ns,3404
simple_iter,legion (packed),,,,47591200.0,ns,3478
simple_iter,legion (packed),,,,49807600.0,ns,3552
simple_iter,legion (packed),,,,49035000.0,ns,3626
simple_iter,legion (packed),,,,50033800.0,ns,3700
simple_iter,legion (packed),,,,51654900.0,ns,3774
simple_iter,legion (packed),,,,51405700.0,ns,3848
simple_iter,legion (packed),,,,52105900.0,ns,3922
simple_iter,legion (packed),,,,52984900.0,ns,3996
simple_iter,legion (packed),,,,54114300.0,ns,4070
simple_iter,legion (packed),,,,54934700.0,ns,4144
simple_iter,legion (packed),,,,55914300.0,ns,4218
simple_iter,legion (packed),,,,57492100.0,ns,4292
simple_iter,legion (packed),,,,58470700.0,ns,4366
simple_iter,legion (packed),,,,59280300.0,ns,4440
simple_iter,legion (packed),,,,60231000.0,ns,4514
simple_iter,legion (packed),,,,61651800.0,ns,4588
simple_iter,legion (packed),,,,67820200.0,ns,4662
simple_iter,legion (packed),,,,68063200.0,ns,4736
simple_iter,legion (packed),,,,69506300.0,ns,4810
simple_iter,legion (packed),,,,67289300.0,ns,4884
simple_iter,legion (packed),,,,66459000.0,ns,4958
simple_iter,legion (packed),,,,67044000.0,ns,5032
simple_iter,legion (packed),,,,68112200.0,ns,5106
simple_iter,legion (packed),,,,69347900.0,ns,5180
simple_iter,legion (packed),,,,73087900.0,ns,5254
simple_iter,legion (packed),,,,71541000.0,ns,5328
simple_iter,legion (packed),,,,72490400.0,ns,5402
simple_iter,legion (packed),,,,73128100.0,ns,5476
simple_iter,legion (packed),,,,74179100.0,ns,5550
simple_iter,legion (packed),,,,76397600.0,ns,5624
simple_iter,legion (packed),,,,80285400.0,ns,5698
simple_iter,legion (packed),,,,78756900.0,ns,5772
simple_iter,legion (packed),,,,79708300.0,ns,5846
simple_iter,legion (packed),,,,80100300.0,ns,5920
simple_iter,legion (packed),,,,80569700.0,ns,5994
simple_iter,legion (packed),,,,80934300.0,ns,6068
simple_iter,legion (packed),,,,81844700.0,ns,6142
simple_iter,legion (packed),,,,82924900.0,ns,6216
simple_iter,legion (packed),,,,85096800.0,ns,6290
simple_iter,legion (packed),,,,88148100.0,ns,6364
simple_iter,legion (packed),,,,92692100.0,ns,6438
simple_iter,legion (packed),,,,89929500.0,ns,6512
simple_iter,legion (packed),,,,95069700.0,ns,6586
simple_iter,legion (packed),,,,90732400.0,ns,6660
simple_iter,legion (packed),,,,92107900.0,ns,6734
simple_iter,legion (packed),,,,95680000.0,ns,6808
simple_iter,legion (packed),,,,94575300.0,ns,6882
simple_iter,legion (packed),,,,92692000.0,ns,6956
simple_iter,legion (packed),,,,93676000.0,ns,7030
simple_iter,legion (packed),,,,94476600.0,ns,7104
simple_iter,legion (packed),,,,95908500.0,ns,7178
simple_iter,legion (packed),,,,96736200.0,ns,7252
simple_iter,legion (packed),,,,100208800.0,ns,7326
simple_iter,legion (packed),,,,100604500.0,ns,7400
