group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion (packed),,,,1109900.0,ns,91
simple_iter,legion (packed),,,,1993900.0,ns,182
simple_iter,legion (packed),,,,2982100.0,ns,273
simple_iter,legion (packed),,,,3975200.0,ns,364
simple_iter,legion (packed),,,,4959400.0,ns,455
simple_iter,legion (packed),,,,5952200.0,ns,546
simple_iter,legion (packed),,,,6925900.0,ns,637
simple_iter,legion (packed),,,,7938900.0,ns,728
simple_iter,legion (packed),,,,8908300.0,ns,819
simple_iter,legion (packed),,,,9905500.0,ns,910
simple_iter,legion (packed),,,,10895700.0,ns,1001
simple_iter,legion (packed),,,,11868900.0,ns,1092
simple_iter,legion (packed),,,,12872000.0,ns,1183
simple_iter,legion (packed),,,,13870500.0,ns,1274
simple_iter,legion (packed),,,,14865800.0,ns,1365
simple_iter,legion (packed),,,,15851100.0,ns,1456
simple_iter,legion (packed),,,,16844700.0,ns,1547
simple_iter,legion (packed),,,,17845900.0,ns,1638
simple_iter,legion (packed),,,,18868000.0,ns,1729
simple_iter,legion (packed),,,,19805800.0,ns,1820
simple_iter,legion (packed),,,,20802500.0,ns,1911
simple_iter,legion (packed),,,,21785100.0,ns,2002
simple_iter,legion (packed),,,,22788700.0,ns,2093
simple_iter,legion (packed),,,,23757200.0,ns,2184
simple_iter,legion (packed),,,,24754500.0,ns,2275
simple_iter,legion (packed),,,,25738600.0,ns,2366
simple_iter,legion (packed),,,,26741700.0,ns,2457
simple_iter,legion (packed),,,,27722600.0,ns,2548
simple_iter,legion (packed),,,,28707300.0,ns,2639
simple_iter,legion (packed),,,,29707600.0,ns,2730
simple_iter,legion (packed),,,,30757100.0,ns,2821
simple_iter,legion (packed),,,,31694400.0,ns,2912
simple_iter,legion (packed),,,,32686100.0,ns,3003
simple_iter,legion (packed),,,,33668300.0,ns,3094
simple_iter,legion (packed),,,,34640900.0,ns,3185
simple_iter,legion (packed),,,,35658700.0,ns,3276
simple_iter,legion (packed),,,,36755700.0,ns,3367
simple_iter,legion (packed),,,,37660100.0,ns,3458
simple_iter,legion (packed),,,,38593200.0,ns,3549
simple_iter,legion (packed),,,,40214500.0,ns,3640
simple_iter,legion (packed),,,,40706600.0,ns,3731
simple_iter,legion (packed),,,,41650800.0,ns,3822
simple_iter,legion (packed),,,,42575300.0,ns,3913
simple_iter,legion (packed),,,,43581300.0,ns,4004
simple_iter,legion (packed),,,,44563000.0,ns,4095
simple_iter,legion (packed),,,,45563200.0,ns,4186
simple_iter,legion (packed),,,,46538700.0,ns,4277
simple_iter,legion (packed),,,,47561800.0,ns,4368
simple_iter,legion (packed),,,,48540600.0,ns,4459
simple_iter,legion (packed),,,,49551500.0,ns,4550
simple_iter,legion (packed),,,,50521800.0,ns,4641
simple_iter,legion (packed),,,,51493500.0,ns,4732
simple_iter,legion (packed),,,,52459200.0,ns,4823
simple_iter,legion (packed),,,,53486000.0,ns,4914
simple_iter,legion (packed),,,,54476100.0,ns,5005
simple_iter,legion (packed),,,,55432100.0,ns,5096
simple_iter,legion (packed),,,,56443800.0,ns,5187
simple_iter,legion (packed),,,,57465800.0,ns,5278
simple_iter,legion (packed),,,,58420200.0,ns,5369
simple_iter,legion (packed),,,,60045600.0,ns,5460
simple_iter,legion (packed),,,,60495100.0,ns,5551
simple_iter,legion (packed),,,,61419200.0,ns,5642
simple_iter,legion (packed),,,,62396000.0,ns,5733
simple_iter,legion (packed),,,,63376300.0,ns,5824
simple_iter,legion (packed),,,,64371200.0,ns,5915
simple_iter,legion (packed),,,,65463200.0,ns,6006
simple_iter,legion (packed),,,,66437500.0,ns,6097
simple_iter,legion (packed),,,,67313500.0,ns,6188
simple_iter,legion (packed),,,,68265300.0,ns,6279
simple_iter,legion (packed),,,,69327200.0,ns,6370
simple_iter,legion (packed),,,,70298100.0,ns,6461
simple_iter,legion (packed),,,,71286400.0,ns,6552
simple_iter,legion (packed),,,,72257100.0,ns,6643
simple_iter,legion (packed),,,,73281000.0,ns,6734
simple_iter,legion (packed),,,,74823400.0,ns,6825
simple_iter,legion (packed),,,,75278300.0,ns,6916
simple_iter,legion (packed),,,,76217000.0,ns,7007
simple_iter,legion (packed),,,,77265100.0,ns,7098
simple_iter,legion (packed),,,,78223700.0,ns,7189
simple_iter,legion (packed),,,,79205600.0,ns,7280
simple_iter,legion (packed),,,,80167700.0,ns,7371
simple_iter,legion (packed),,,,81212100.0,ns,7462
simple_iter,legion (packed),,,,82162500.0,ns,7553
simple_iter,legion (packed),,,,83199200.0,ns,7644
simple_iter,legion (packed),,,,84158800.0,ns,7735
simple_iter,legion (packed),,,,85162000.0,ns,7826
simple_iter,legion (packed),,,,86178700.0,ns,7917
simple_iter,legion (packed),,,,87295900.0,ns,8008
simple_iter,legion (packed),,,,88161100.0,ns,8099
simple_iter,legion (packed),,,,89154700.0,ns,8190
simple_iter,legion (packed),,,,90267300.0,ns,8281
simple_iter,legion (packed),,,,91078100.0,ns,8372
simple_iter,legion (packed),,,,92060500.0,ns,8463
simple_iter,legion (packed),,,,93066400.0,ns,8554
simple_iter,legion (packed),,,,94102000.0,ns,8645
simple_iter,legion (packed),,,,95104800.0,ns,8736
simple_iter,legion (packed),,,,96103200.0,ns,8827
simple_iter,legion (packed),,,,97420000.0,ns,8918
simple_iter,legion (packed),,,,99351000.0,ns,9009
simple_iter,legion (packed),,,,101503300.0,ns,9100
