group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion,,,,1194800.0,ns,89
simple_iter,legion,,,,2363000.0,ns,178
simple_iter,legion,,,,3544800.0,ns,267
simple_iter,legion,,,,4733700.0,ns,356
simple_iter,legion,,,,5914400.0,ns,445
simple_iter,legion,,,,7109500.0,ns,534
simple_iter,legion,,,,8309100.0,ns,623
simple_iter,legion,,,,9544300.0,ns,712
simple_iter,legion,,,,10641200.0,ns,801
simple_iter,legion,,,,11842600.0,ns,890
simple_iter,legion,,,,13010200.0,ns,979
simple_iter,legion,,,,14285400.0,ns,1068
simple_iter,legion,,,,15417700.0,ns,1157
simple_iter,legion,,,,16550400.0,ns,1246
simple_iter,legion,,,,17741700.0,ns,1335
simple_iter,legion,,,,18955600.0,ns,1424
simple_iter,legion,,,,20096000.0,ns,1513
simple_iter,legion,,,,21306600.0,ns,1602
simple_iter,legion,,,,22317100.0,ns,1691
simple_iter,legion,,,,23455100.0,ns,1780
simple_iter,legion,,,,24610300.0,ns,1869
simple_iter,legion,,,,25747700.0,ns,1958
simple_iter,legion,,,,26938100.0,ns,2047
simple_iter,legion,,,,28139400.0,ns,2136
simple_iter,legion,,,,29208300.0,ns,2225
simple_iter,legion,,,,30522100.0,ns,2314
simple_iter,legion,,,,31733600.0,ns,2403
simple_iter,legion,,,,32859000.0,ns,2492
simple_iter,legion,,,,34021000.0,ns,2581
simple_iter,legion,,,,35183900.0,ns,2670
simple_iter,legion,,,,36350400.0,ns,2759
simple_iter,legion,,,,37509500.0,ns,2848
simple_iter,legion,,,,38614300.0,ns,2937
simple_iter,legion,,,,39788300.0,ns,3026
simple_iter,legion,,,,41188900.0,ns,3115
simple_iter,legion,,,,42793100.0,ns,3204
simple_iter,legion,,,,43433400.0,ns,3293
simple_iter,legion,,,,44670800.0,ns,3382
simple_iter,legion,,,,45668800.0,ns,3471
simple_iter,legion,,,,46957500.0,ns,3560
simple_iter,legion,,,,48063300.0,ns,3649
simple_iter,legion,,,,49292800.0,ns,3738
simple_iter,legion,,,,50387100.0,ns,3827
simple_iter,legion,,,,51641100.0,ns,3916
simple_iter,legion,,,,52796800.0,ns,4005
simple_iter,legion,,,,54005900.0,ns,4094
simple_iter,legion,,,,55240800.0,ns,4183
simple_iter,legion,,,,56273900.0,ns,4272
simple_iter,legion,,,,57250900.0,ns,4361
simple_iter,legion,,,,58486000.0,ns,4450
simple_iter,legion,,,,59801100.0,ns,4539
simple_iter,legion,,,,60762900.0,ns,4628
simple_iter,legion,,,,62116900.0,ns,4717
simple_iter,legion,,,,63759700.0,ns,4806
simple_iter,legion,,,,64276500.0,ns,4895
simple_iter,legion,,,,65742800.0,ns,4984
simple_iter,legion,,,,66893600.0,ns,5073
simple_iter,legion,,,,68043300.0,ns,5162
simple_iter,legion,,,,69103200.0,ns,5251
simple_iter,legion,,,,70199900.0,ns,5340
simple_iter,legion,,,,71498900.0,ns,5429
simple_iter,legion,,,,72750000.0,ns,5518
simple_iter,legion,,,,73856300.0,ns,5607
simple_iter,legion,,,,74888000.0,ns,5696
simple_iter,legion,,,,76272000.0,ns,5785
simple_iter,legion,,,,77400200.0,ns,5874
simple_iter,legion,,,,78626500.0,ns,5963
simple_iter,legion,,,,79757100.0,ns,6052
simple_iter,legion,,,,80694900.0,ns,6141
simple_iter,legion,,,,81897300.0,ns,6230
simple_iter,legion,,,,83189300.0,ns,6319
simple_iter,legion,,,,84403600.0,ns,6408
simple_iter,legion,,,,85760000.0,ns,6497
simple_iter,legion,,,,86758600.0,ns,6586
simple_iter,legion,,,,87916500.0,ns,6675
simple_iter,legion,,,,88807200.0,ns,6764
simple_iter,legion,,,,90314600.0,ns,6853
simple_iter,legion,,,,91597200.0,ns,6942
simple_iter,legion,,,,92587400.0,ns,7031
simple_iter,legion,,,,94293000.0,ns,7120
simple_iter,legion,,,,94867700.0,ns,7209
simple_iter,legion,,,,96430800.0,ns,7298
simple_iter,legion,,,,97182900.0,ns,7387
simple_iter,legion,,,,98076500.0,ns,7476
simple_iter,legion,,,,99426000.0,ns,7565
simple_iter,legion,,,,100461100.0,ns,7654
simple_iter,legion,,,,101585800.0,ns,7743
simple_iter,legion,,,,102918100.0,ns,7832
simple_iter,legion,,,,104004600.0,ns,7921
simple_iter,legion,,,,105561000.0,ns,8010
simple_iter,legion,,,,106328300.0,ns,8099
simple_iter,legion,,,,110686400.0,ns,8188
simple_iter,legion,,,,110301100.0,ns,8277
simple_iter,legion,,,,111401300.0,ns,8366
simple_iter,legion,,,,112357800.0,ns,8455
simple_iter,legion,,,,113967700.0,ns,8544
simple_iter,legion,,,,118889600.0,ns,8633
simple_iter,legion,,,,114853700.0,ns,8722
simple_iter,legion,,,,116298000.0,ns,8811
simple_iter,legion,,,,119427500.0,ns,8900
