group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion,,,,1154318.0,ns,85
simple_iter,legion,,,,2320944.0,ns,170
simple_iter,legion,,,,3068457.0,ns,255
simple_iter,legion,,,,3951595.0,ns,340
simple_iter,legion,,,,5055270.0,ns,425
simple_iter,legion,,,,5821187.0,ns,510
simple_iter,legion,,,,7019782.0,ns,595
simple_iter,legion,,,,8101590.0,ns,680
simple_iter,legion,,,,9091800.0,ns,765
simple_iter,legion,,,,10053953.0,ns,850
simple_iter,legion,,,,11421661.0,ns,935
simple_iter,legion,,,,11713900.0,ns,1020
simple_iter,legion,,,,13099540.0,ns,1105
simple_iter,legion,,,,13933719.0,ns,1190
simple_iter,legion,,,,14971073.0,ns,1275
simple_iter,legion,,,,16860550.0,ns,1360
simple_iter,legion,,,,17272589.0,ns,1445
simple_iter,legion,,,,17996764.0,ns,1530
simple_iter,legion,,,,18959492.0,ns,1615
simple_iter,legion,,,,20315213.0,ns,1700
simple_iter,legion,,,,21371421.0,ns,1785
simple_iter,legion,,,,22404471.0,ns,1870
simple_iter,legion,,,,23463994.0,ns,1955
simple_iter,legion,,,,24571744.0,ns,2040
simple_iter,legion,,,,25477317.0,ns,2125
simple_iter,legion,,,,25553514.0,ns,2210
simple_iter,legion,,,,26914571.0,ns,2295
simple_iter,legion,,,,28000506.0,ns,2380
simple_iter,legion,,,,28863326.0,ns,2465
simple_iter,legion,,,,30054732.0,ns,2550
simple_iter,legion,,,,31226521.0,ns,2635
simple_iter,legion,,,,31908445.0,ns,2720
simple_iter,legion,,,,33431612.0,ns,2805
simple_iter,legion,,,,34459679.0,ns,2890
simple_iter,legion,,,,35592805.0,ns,2975
simple_iter,legion,,,,35771138.0,ns,3060
simple_iter,legion,,,,37164828.0,ns,3145
simple_iter,legion,,,,37862242.0,ns,3230
simple_iter,legion,,,,39086465.0,ns,3315
simple_iter,legion,,,,39900078.0,ns,3400
simple_iter,legion,,,,40951093.0,ns,3485
simple_iter,legion,,,,41729271.0,ns,3570
simple_iter,legion,,,,42536069.0,ns,3655
simple_iter,legion,,,,43893342.0,ns,3740
simple_iter,legion,,,,45289404.0,ns,3825
simple_iter,legion,,,,46046929.0,ns,3910
simple_iter,legion,,,,47470845.0,ns,3995
simple_iter,legion,,,,48172638.0,ns,4080
simple_iter,legion,,,,49565899.0,ns,4165
simple_iter,legion,,,,49914473.0,ns,4250
simple_iter,legion,,,,51273579.0,ns,4335
simple_iter,legion,,,,51376547.0,ns,4420
simple_iter,legion,,,,53919014.0,ns,4505
simple_iter,legion,,,,54027672.0,ns,4590
simple_iter,legion,,,,54339456.0,ns,4675
simple_iter,legion,,,,55344436.0,ns,4760
simple_iter,legion,,,,56539058.0,ns,4845
simple_iter,legion,,,,57578481.0,ns,4930
simple_iter,legion,,,,58398894.0,ns,5015
simple_iter,legion,,,,59963619.0,ns,5100
simple_iter,legion,,,,60637452.0,ns,5185
simple_iter,legion,,,,61563858.0,ns,5270
simple_iter,legion,,,,62562645.0,ns,5355
simple_iter,legion,,,,64081089.0,ns,5440
simple_iter,legion,,,,65522843.0,ns,5525
simple_iter,legion,,,,65260734.0,ns,5610
simple_iter,legion,,,,66021848.0,ns,5695
simple_iter,legion,,,,67651092.0,ns,5780
simple_iter,legion,,,,68686499.0,ns,5865
simple_iter,legion,,,,70171304.0,ns,5950
simple_iter,legion,,,,70622595.0,ns,6035
simple_iter,legion,,,,71209056.0,ns,6120
simple_iter,legion,,,,72794072.0,ns,6205
simple_iter,legion,,,,73524674.0,ns,6290
simple_iter,legion,,,,74483978.0,ns,6375
simple_iter,legion,,,,76315917.0,ns,6460
simple_iter,legion,,,,77253959.0,ns,6545
simple_iter,legion,,,,77148498.0,ns,6630
simple_iter,legion,,,,79246437.0,ns,6715
simple_iter,legion,,,,79841043.0,ns,6800
simple_iter,legion,,,,80446713.0,ns,6885
simple_iter,legion,,,,80961214.0,ns,6970
simple_iter,legion,,,,82985622.0,ns,7055
simple_iter,legion,,,,84069942.0,ns,7140
simple_iter,legion,,,,84440585.0,ns,7225
simple_iter,legion,,,,86340962.0,ns,7310
simple_iter,legion,,,,86197601.0,ns,7395
simple_iter,legion,,,,87031147.0,ns,7480
simple_iter,legion,,,,88424867.0,ns,7565
simple_iter,legion,,,,89605093.0,ns,7650
simple_iter,legion,,,,92012325.0,ns,7735
simple_iter,legion,,,,94496840.0,ns,7820
simple_iter,legion,,,,93244908.0,ns,7905
simple_iter,legion,,,,93791780.0,ns,7990
simple_iter,legion,,,,94093029.0,ns,8075
simple_iter,legion,,,,95375861.0,ns,8160
simple_iter,legion,,,,96910199.0,ns,8245
simple_iter,legion,,,,97547169.0,ns,8330
simple_iter,legion,,,,98583626.0,ns,8415
simple_iter,legion,,,,99290104.0,ns,8500
