group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion_0.2.4,,,,982300.0,ns,73
simple_iter,legion_0.2.4,,,,1997700.0,ns,146
simple_iter,legion_0.2.4,,,,2940900.0,ns,219
simple_iter,legion_0.2.4,,,,3893800.0,ns,292
simple_iter,legion_0.2.4,,,,4807900.0,ns,365
simple_iter,legion_0.2.4,,,,5757600.0,ns,438
simple_iter,legion_0.2.4,,,,6799200.0,ns,511
simple_iter,legion_0.2.4,,,,7783400.0,ns,584
simple_iter,legion_0.2.4,,,,8629700.0,ns,657
simple_iter,legion_0.2.4,,,,10250700.0,ns,730
simple_iter,legion_0.2.4,,,,10658400.0,ns,803
simple_iter,legion_0.2.4,,,,11590500.0,ns,876
simple_iter,legion_0.2.4,,,,12580600.0,ns,949
simple_iter,legion_0.2.4,,,,13525100.0,ns,1022
simple_iter,legion_0.2.4,,,,14856200.0,ns,1095
simple_iter,legion_0.2.4,,,,15938100.0,ns,1168
simple_iter,legion_0.2.4,,,,16764900.0,ns,1241
simple_iter,legion_0.2.4,,,,18009200.0,ns,1314
simple_iter,legion_0.2.4,,,,19075000.0,ns,1387
simple_iter,legion_0.2.4,,,,19941700.0,ns,1460
simple_iter,legion_0.2.4,,,,20902700.0,ns,1533
simple_iter,legion_0.2.4,,,,22645700.0,ns,1606
simple_iter,legion_0.2.4,,,,22774700.0,ns,1679
simple_iter,legion_0.2.4,,,,23865700.0,ns,1752
simple_iter,legion_0.2.4,,,,24767200.0,ns,1825
simple_iter,legion_0.2.4,,,,25915100.0,ns,1898
simple_iter,legion_0.2.4,,,,26735100.0,ns,1971
simple_iter,legion_0.2.4,,,,27321300.0,ns,2044
simple_iter,legion_0.2.4,,,,27966400.0,ns,2117
simple_iter,legion_0.2.4,,,,28954500.0,ns,2190
simple_iter,legion_0.2.4,,,,29915900.0,ns,2263
simple_iter,legion_0.2.4,,,,30937400.0,ns,2336
simple_iter,legion_0.2.4,,,,31726000.0,ns,2409
simple_iter,legion_0.2.4,,,,32644300.0,ns,2482
simple_iter,legion_0.2.4,,,,33763800.0,ns,2555
simple_iter,legion_0.2.4,,,,35120400.0,ns,2628
simple_iter,legion_0.2.4,,,,35924000.0,ns,2701
simple_iter,legion_0.2.4,,,,36670600.0,ns,2774
simple_iter,legion_0.2.4,,,,37529500.0,ns,2847
simple_iter,legion_0.2.4,,,,38906200.0,ns,2920
simple_iter,legion_0.2.4,,,,39432300.0,ns,2993
simple_iter,legion_0.2.4,,,,40499600.0,ns,3066
simple_iter,legion_0.2.4,,,,41307300.0,ns,3139
simple_iter,legion_0.2.4,,,,42221000.0,ns,3212
simple_iter,legion_0.2.4,,,,43654500.0,ns,3285
simple_iter,legion_0.2.4,,,,47564000.0,ns,3358
simple_iter,legion_0.2.4,,,,47450200.0,ns,3431
simple_iter,legion_0.2.4,,,,47703600.0,ns,3504
simple_iter,legion_0.2.4,,,,48874000.0,ns,3577
simple_iter,legion_0.2.4,,,,49481700.0,ns,3650
simple_iter,legion_0.2.4,,,,50477900.0,ns,3723
simple_iter,legion_0.2.4,,,,51220200.0,ns,3796
simple_iter,legion_0.2.4,,,,51068300.0,ns,3869
simple_iter,legion_0.2.4,,,,51943200.0,ns,3942
simple_iter,legion_0.2.4,,,,52971000.0,ns,4015
simple_iter,legion_0.2.4,,,,53988800.0,ns,4088
simple_iter,legion_0.2.4,,,,55096800.0,ns,4161
simple_iter,legion_0.2.4,,,,58025600.0,ns,4234
simple_iter,legion_0.2.4,,,,57590200.0,ns,4307
simple_iter,legion_0.2.4,,,,57702800.0,ns,4380
simple_iter,legion_0.2.4,,,,58590800.0,ns,4453
simple_iter,legion_0.2.4,,,,59501600.0,ns,4526
simple_iter,legion_0.2.4,,,,61121300.0,ns,4599
simple_iter,legion_0.2.4,,,,61892500.0,ns,4672
simple_iter,legion_0.2.4,,,,65398900.0,ns,4745
simple_iter,legion_0.2.4,,,,66591800.0,ns,4818
simple_iter,legion_0.2.4,,,,66742100.0,ns,4891
simple_iter,legion_0.2.4,,,,67588400.0,ns,4964
simple_iter,legion_0.2.4,,,,68519700.0,ns,5037
simple_iter,legion_0.2.4,,,,68819600.0,ns,5110
simple_iter,legion_0.2.4,,,,69538000.0,ns,5183
simple_iter,legion_0.2.4,,,,69567500.0,ns,5256
simple_iter,legion_0.2.4,,,,71552600.0,ns,5329
simple_iter,legion_0.2.4,,,,71525600.0,ns,5402
simple_iter,legion_0.2.4,,,,73039000.0,ns,5475
simple_iter,legion_0.2.4,,,,74133600.0,ns,5548
simple_iter,legion_0.2.4,,,,74573100.0,ns,5621
simple_iter,legion_0.2.4,,,,75609200.0,ns,5694
simple_iter,legion_0.2.4,,,,79728800.0,ns,5767
simple_iter,legion_0.2.4,,,,80510000.0,ns,5840
simple_iter,legion_0.2.4,,,,81320400.0,ns,5913
simple_iter,legion_0.2.4,,,,81462500.0,ns,5986
simple_iter,legion_0.2.4,,,,82471600.0,ns,6059
simple_iter,legion_0.2.4,,,,82662300.0,ns,6132
simple_iter,legion_0.2.4,,,,83506900.0,ns,6205
simple_iter,legion_0.2.4,,,,83964200.0,ns,6278
simple_iter,legion_0.2.4,,,,84645100.0,ns,6351
simple_iter,legion_0.2.4,,,,84554100.0,ns,6424
simple_iter,legion_0.2.4,,,,86683600.0,ns,6497
simple_iter,legion_0.2.4,,,,86834300.0,ns,6570
simple_iter,legion_0.2.4,,,,90082200.0,ns,6643
