group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,950500.0,ns,23
simple_iter,planck_ecs,,,,1903900.0,ns,46
simple_iter,planck_ecs,,,,2247400.0,ns,69
simple_iter,planck_ecs,,,,2978800.0,ns,92
simple_iter,planck_ecs,,,,3736600.0,ns,115
simple_iter,planck_ecs,,,,4475600.0,ns,138
simple_iter,planck_ecs,,,,5217600.0,ns,161
simple_iter,planck_ecs,,,,5990200.0,ns,184
simple_iter,planck_ecs,,,,6720400.0,ns,207
simple_iter,planck_ecs,,,,7514700.0,ns,230
simple_iter,planck_ecs,,,,8233300.0,ns,253
simple_iter,planck_ecs,,,,9002200.0,ns,276
simple_iter,planck_ecs,,,,9738800.0,ns,299
simple_iter,planck_ecs,,,,10721200.0,ns,322
simple_iter,planck_ecs,,,,11518600.0,ns,345
simple_iter,planck_ecs,,,,12298100.0,ns,368
simple_iter,planck_ecs,,,,12743100.0,ns,391
simple_iter,planck_ecs,,,,13517400.0,ns,414
simple_iter,planck_ecs,,,,14220100.0,ns,437
simple_iter,planck_ecs,,,,15028500.0,ns,460
simple_iter,planck_ecs,,,,15738400.0,ns,483
simple_iter,planck_ecs,,,,16438600.0,ns,506
simple_iter,planck_ecs,,,,17292900.0,ns,529
simple_iter,planck_ecs,,,,22397900.0,ns,552
simple_iter,planck_ecs,,,,23306100.0,ns,575
simple_iter,planck_ecs,,,,19491000.0,ns,598
simple_iter,planck_ecs,,,,20243100.0,ns,621
simple_iter,planck_ecs,,,,21018300.0,ns,644
simple_iter,planck_ecs,,,,21782600.0,ns,667
simple_iter,planck_ecs,,,,22493000.0,ns,690
simple_iter,planck_ecs,,,,23296100.0,ns,713
simple_iter,planck_ecs,,,,24016800.0,ns,736
simple_iter,planck_ecs,,,,24833600.0,ns,759
simple_iter,planck_ecs,,,,25527200.0,ns,782
simple_iter,planck_ecs,,,,26268200.0,ns,805
simple_iter,planck_ecs,,,,27052000.0,ns,828
simple_iter,planck_ecs,,,,28511100.0,ns,851
simple_iter,planck_ecs,,,,28510000.0,ns,874
simple_iter,planck_ecs,,,,29312300.0,ns,897
simple_iter,planck_ecs,,,,30085600.0,ns,920
simple_iter,planck_ecs,,,,30750300.0,ns,943
simple_iter,planck_ecs,,,,31595100.0,ns,966
simple_iter,planck_ecs,,,,32264800.0,ns,989
simple_iter,planck_ecs,,,,33017700.0,ns,1012
simple_iter,planck_ecs,,,,33767300.0,ns,1035
simple_iter,planck_ecs,,,,34518400.0,ns,1058
simple_iter,planck_ecs,,,,35270400.0,ns,1081
simple_iter,planck_ecs,,,,35999500.0,ns,1104
simple_iter,planck_ecs,,,,36734100.0,ns,1127
simple_iter,planck_ecs,,,,37717300.0,ns,1150
simple_iter,planck_ecs,,,,38694000.0,ns,1173
simple_iter,planck_ecs,,,,39185700.0,ns,1196
simple_iter,planck_ecs,,,,39804400.0,ns,1219
simple_iter,planck_ecs,,,,40477700.0,ns,1242
simple_iter,planck_ecs,,,,41283800.0,ns,1265
simple_iter,planck_ecs,,,,42182000.0,ns,1288
simple_iter,planck_ecs,,,,42725600.0,ns,1311
simple_iter,planck_ecs,,,,43509700.0,ns,1334
simple_iter,planck_ecs,,,,44223400.0,ns,1357
simple_iter,planck_ecs,,,,45105400.0,ns,1380
simple_iter,planck_ecs,,,,45769000.0,ns,1403
simple_iter,planck_ecs,,,,46522800.0,ns,1426
simple_iter,planck_ecs,,,,47370100.0,ns,1449
simple_iter,planck_ecs,,,,48018700.0,ns,1472
simple_iter,planck_ecs,,,,48777800.0,ns,1495
simple_iter,planck_ecs,,,,49551700.0,ns,1518
simple_iter,planck_ecs,,,,50231800.0,ns,1541
simple_iter,planck_ecs,,,,50990300.0,ns,1564
simple_iter,planck_ecs,,,,51770700.0,ns,1587
simple_iter,planck_ecs,,,,52525400.0,ns,1610
simple_iter,planck_ecs,,,,53244400.0,ns,1633
simple_iter,planck_ecs,,,,54046500.0,ns,1656
simple_iter,planck_ecs,,,,54880400.0,ns,1679
simple_iter,planck_ecs,,,,56057000.0,ns,1702
simple_iter,planck_ecs,,,,56352900.0,ns,1725
simple_iter,planck_ecs,,,,57102000.0,ns,1748
simple_iter,planck_ecs,,,,57723800.0,ns,1771
simple_iter,planck_ecs,,,,58599900.0,ns,1794
simple_iter,planck_ecs,,,,59408300.0,ns,1817
simple_iter,planck_ecs,,,,60044000.0,ns,1840
simple_iter,planck_ecs,,,,60789800.0,ns,1863
simple_iter,planck_ecs,,,,61488700.0,ns,1886
simple_iter,planck_ecs,,,,62537500.0,ns,1909
simple_iter,planck_ecs,,,,62870900.0,ns,1932
simple_iter,planck_ecs,,,,63618400.0,ns,1955
simple_iter,planck_ecs,,,,64365500.0,ns,1978
simple_iter,planck_ecs,,,,65613000.0,ns,2001
simple_iter,planck_ecs,,,,66066600.0,ns,2024
simple_iter,planck_ecs,,,,66722100.0,ns,2047
simple_iter,planck_ecs,,,,67377300.0,ns,2070
simple_iter,planck_ecs,,,,68621600.0,ns,2093
simple_iter,planck_ecs,,,,69241800.0,ns,2116
simple_iter,planck_ecs,,,,69653700.0,ns,2139
simple_iter,planck_ecs,,,,70975200.0,ns,2162
simple_iter,planck_ecs,,,,71194300.0,ns,2185
simple_iter,planck_ecs,,,,72054200.0,ns,2208
simple_iter,planck_ecs,,,,72720000.0,ns,2231
simple_iter,planck_ecs,,,,73934500.0,ns,2254
simple_iter,planck_ecs,,,,74215800.0,ns,2277
simple_iter,planck_ecs,,,,74968100.0,ns,2300
