group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,927243.0,ns,20
simple_iter,planck_ecs,,,,1858176.0,ns,40
simple_iter,planck_ecs,,,,3737675.0,ns,60
simple_iter,planck_ecs,,,,3724201.0,ns,80
simple_iter,planck_ecs,,,,5128598.0,ns,100
simple_iter,planck_ecs,,,,6393979.0,ns,120
simple_iter,planck_ecs,,,,6933892.0,ns,140
simple_iter,planck_ecs,,,,7871578.0,ns,160
simple_iter,planck_ecs,,,,8395054.0,ns,180
simple_iter,planck_ecs,,,,10358511.0,ns,200
simple_iter,planck_ecs,,,,10988975.0,ns,220
simple_iter,planck_ecs,,,,11700612.0,ns,240
simple_iter,planck_ecs,,,,13181619.0,ns,260
simple_iter,planck_ecs,,,,14913448.0,ns,280
simple_iter,planck_ecs,,,,15571968.0,ns,300
simple_iter,planck_ecs,,,,15174555.0,ns,320
simple_iter,planck_ecs,,,,18298751.0,ns,340
simple_iter,planck_ecs,,,,18643941.0,ns,360
simple_iter,planck_ecs,,,,21422033.0,ns,380
simple_iter,planck_ecs,,,,21721325.0,ns,400
simple_iter,planck_ecs,,,,21150662.0,ns,420
simple_iter,planck_ecs,,,,22603240.0,ns,440
simple_iter,planck_ecs,,,,23351546.0,ns,460
simple_iter,planck_ecs,,,,23571288.0,ns,480
simple_iter,planck_ecs,,,,25622745.0,ns,500
simple_iter,planck_ecs,,,,27402473.0,ns,520
simple_iter,planck_ecs,,,,27272852.0,ns,540
simple_iter,planck_ecs,,,,27867084.0,ns,560
simple_iter,planck_ecs,,,,29259634.0,ns,580
simple_iter,planck_ecs,,,,29002459.0,ns,600
simple_iter,planck_ecs,,,,30257911.0,ns,620
simple_iter,planck_ecs,,,,31660572.0,ns,640
simple_iter,planck_ecs,,,,32690720.0,ns,660
simple_iter,planck_ecs,,,,36818686.0,ns,680
simple_iter,planck_ecs,,,,33951423.0,ns,700
simple_iter,planck_ecs,,,,38141974.0,ns,720
simple_iter,planck_ecs,,,,37758955.0,ns,740
simple_iter,planck_ecs,,,,36769870.0,ns,760
simple_iter,planck_ecs,,,,40239905.0,ns,780
simple_iter,planck_ecs,,,,42066321.0,ns,800
simple_iter,planck_ecs,,,,40808751.0,ns,820
simple_iter,planck_ecs,,,,40752710.0,ns,840
simple_iter,planck_ecs,,,,46191989.0,ns,860
simple_iter,planck_ecs,,,,42456880.0,ns,880
simple_iter,planck_ecs,,,,43394041.0,ns,900
simple_iter,planck_ecs,,,,46280325.0,ns,920
simple_iter,planck_ecs,,,,47435083.0,ns,940
simple_iter,planck_ecs,,,,50270428.0,ns,960
simple_iter,planck_ecs,,,,53549804.0,ns,980
simple_iter,planck_ecs,,,,54323797.0,ns,1000
simple_iter,planck_ecs,,,,55310808.0,ns,1020
simple_iter,planck_ecs,,,,51959824.0,ns,1040
simple_iter,planck_ecs,,,,51638688.0,ns,1060
simple_iter,planck_ecs,,,,53919470.0,ns,1080
simple_iter,planck_ecs,,,,54125329.0,ns,1100
simple_iter,planck_ecs,,,,57226210.0,ns,1120
simple_iter,planck_ecs,,,,57227045.0,ns,1140
simple_iter,planck_ecs,,,,59504231.0,ns,1160
simple_iter,planck_ecs,,,,57860886.0,ns,1180
simple_iter,planck_ecs,,,,60953744.0,ns,1200
simple_iter,planck_ecs,,,,61372931.0,ns,1220
simple_iter,planck_ecs,,,,60446321.0,ns,1240
simple_iter,planck_ecs,,,,62064027.0,ns,1260
simple_iter,planck_ecs,,,,65790393.0,ns,1280
simple_iter,planck_ecs,,,,67547334.0,ns,1300
simple_iter,planck_ecs,,,,67183181.0,ns,1320
simple_iter,planck_ecs,,,,66653054.0,ns,1340
simple_iter,planck_ecs,,,,81474967.0,ns,1360
simple_iter,planck_ecs,,,,83934646.0,ns,1380
simple_iter,planck_ecs,,,,79354712.0,ns,1400
simple_iter,planck_ecs,,,,81119964.0,ns,1420
simple_iter,planck_ecs,,,,85268081.0,ns,1440
simple_iter,planck_ecs,,,,79833111.0,ns,1460
simple_iter,planck_ecs,,,,80752930.0,ns,1480
simple_iter,planck_ecs,,,,80220592.0,ns,1500
simple_iter,planck_ecs,,,,75960961.0,ns,1520
simple_iter,planck_ecs,,,,77677127.0,ns,1540
simple_iter,planck_ecs,,,,84247625.0,ns,1560
simple_iter,planck_ecs,,,,81134517.0,ns,1580
simple_iter,planck_ecs,,,,82889078.0,ns,1600
simple_iter,planck_ecs,,,,80669883.0,ns,1620
simple_iter,planck_ecs,,,,81606252.0,ns,1640
simple_iter,planck_ecs,,,,89783266.0,ns,1660
simple_iter,planck_ecs,,,,89348070.0,ns,1680
simple_iter,planck_ecs,,,,82942013.0,ns,1700
simple_iter,planck_ecs,,,,87378488.0,ns,1720
simple_iter,planck_ecs,,,,97799385.0,ns,1740
simple_iter,planck_ecs,,,,91243280.0,ns,1760
simple_iter,planck_ecs,,,,91202735.0,ns,1780
simple_iter,planck_ecs,,,,91373266.0,ns,1800
simple_iter,planck_ecs,,,,91985061.0,ns,1820
simple_iter,planck_ecs,,,,99388420.0,ns,1840
simple_iter,planck_ecs,,,,101250091.0,ns,1860
simple_iter,planck_ecs,,,,102777905.0,ns,1880
simple_iter,planck_ecs,,,,105095438.0,ns,1900
simple_iter,planck_ecs,,,,101163300.0,ns,1920
simple_iter,planck_ecs,,,,105102560.0,ns,1940
simple_iter,planck_ecs,,,,105279323.0,ns,1960
simple_iter,planck_ecs,,,,102759939.0,ns,1980
simple_iter,planck_ecs,,,,105944732.0,ns,2000
