group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,shipyard,,,,991240.0,ns,39
simple_iter,shipyard,,,,1973243.0,ns,78
simple_iter,shipyard,,,,2977958.0,ns,117
simple_iter,shipyard,,,,3983846.0,ns,156
simple_iter,shipyard,,,,4925171.0,ns,195
simple_iter,shipyard,,,,5959324.0,ns,234
simple_iter,shipyard,,,,6971602.0,ns,273
simple_iter,shipyard,,,,7871157.0,ns,312
simple_iter,shipyard,,,,17361743.0,ns,351
simple_iter,shipyard,,,,9809023.0,ns,390
simple_iter,shipyard,,,,21110240.0,ns,429
simple_iter,shipyard,,,,11782056.0,ns,468
simple_iter,shipyard,,,,12911588.0,ns,507
simple_iter,shipyard,,,,13819830.0,ns,546
simple_iter,shipyard,,,,14748222.0,ns,585
simple_iter,shipyard,,,,15894034.0,ns,624
simple_iter,shipyard,,,,16786417.0,ns,663
simple_iter,shipyard,,,,17841126.0,ns,702
simple_iter,shipyard,,,,18726145.0,ns,741
simple_iter,shipyard,,,,21282037.0,ns,780
simple_iter,shipyard,,,,20709147.0,ns,819
simple_iter,shipyard,,,,21722337.0,ns,858
simple_iter,shipyard,,,,22759626.0,ns,897
simple_iter,shipyard,,,,23787355.0,ns,936
simple_iter,shipyard,,,,24662734.0,ns,975
simple_iter,shipyard,,,,25646440.0,ns,1014
simple_iter,shipyard,,,,26706982.0,ns,1053
simple_iter,shipyard,,,,28140053.0,ns,1092
simple_iter,shipyard,,,,29939766.0,ns,1131
simple_iter,shipyard,,,,29774912.0,ns,1170
simple_iter,shipyard,,,,30555771.0,ns,1209
simple_iter,shipyard,,,,32003080.0,ns,1248
simple_iter,shipyard,,,,32656965.0,ns,1287
simple_iter,shipyard,,,,33581529.0,ns,1326
simple_iter,shipyard,,,,34600874.0,ns,1365
simple_iter,shipyard,,,,35829867.0,ns,1404
simple_iter,shipyard,,,,36562092.0,ns,1443
simple_iter,shipyard,,,,37641851.0,ns,1482
simple_iter,shipyard,,,,38442157.0,ns,1521
simple_iter,shipyard,,,,39572152.0,ns,1560
simple_iter,shipyard,,,,40437191.0,ns,1599
simple_iter,shipyard,,,,80422851.0,ns,1638
simple_iter,shipyard,,,,42375006.0,ns,1677
simple_iter,shipyard,,,,43525991.0,ns,1716
simple_iter,shipyard,,,,44362715.0,ns,1755
simple_iter,shipyard,,,,45529159.0,ns,1794
simple_iter,shipyard,,,,46683450.0,ns,1833
simple_iter,shipyard,,,,48892342.0,ns,1872
simple_iter,shipyard,,,,48282210.0,ns,1911
simple_iter,shipyard,,,,95071901.0,ns,1950
simple_iter,shipyard,,,,97467479.0,ns,1989
simple_iter,shipyard,,,,51327706.0,ns,2028
simple_iter,shipyard,,,,52354565.0,ns,2067
simple_iter,shipyard,,,,53732470.0,ns,2106
simple_iter,shipyard,,,,54666541.0,ns,2145
simple_iter,shipyard,,,,55524499.0,ns,2184
simple_iter,shipyard,,,,56535014.0,ns,2223
simple_iter,shipyard,,,,110973269.0,ns,2262
simple_iter,shipyard,,,,58070311.0,ns,2301
simple_iter,shipyard,,,,59652089.0,ns,2340
simple_iter,shipyard,,,,60144255.0,ns,2379
simple_iter,shipyard,,,,118532764.0,ns,2418
simple_iter,shipyard,,,,62039449.0,ns,2457
simple_iter,shipyard,,,,122509787.0,ns,2496
simple_iter,shipyard,,,,63997061.0,ns,2535
simple_iter,shipyard,,,,126125622.0,ns,2574
simple_iter,shipyard,,,,66133234.0,ns,2613
simple_iter,shipyard,,,,67480724.0,ns,2652
simple_iter,shipyard,,,,68209454.0,ns,2691
simple_iter,shipyard,,,,69503339.0,ns,2730
simple_iter,shipyard,,,,70029743.0,ns,2769
simple_iter,shipyard,,,,71396952.0,ns,2808
simple_iter,shipyard,,,,72003376.0,ns,2847
simple_iter,shipyard,,,,72969620.0,ns,2886
simple_iter,shipyard,,,,73811213.0,ns,2925
simple_iter,shipyard,,,,144929834.0,ns,2964
simple_iter,shipyard,,,,76076752.0,ns,3003
simple_iter,shipyard,,,,77567557.0,ns,3042
simple_iter,shipyard,,,,77689037.0,ns,3081
simple_iter,shipyard,,,,152708886.0,ns,3120
simple_iter,shipyard,,,,79673450.0,ns,3159
simple_iter,shipyard,,,,81779948.0,ns,3198
simple_iter,shipyard,,,,82409406.0,ns,3237
simple_iter,shipyard,,,,82786526.0,ns,3276
simple_iter,shipyard,,,,162260718.0,ns,3315
simple_iter,shipyard,,,,84963607.0,ns,3354
simple_iter,shipyard,,,,87692893.0,ns,3393
simple_iter,shipyard,,,,87309189.0,ns,3432
simple_iter,shipyard,,,,88061304.0,ns,3471
simple_iter,shipyard,,,,91681626.0,ns,3510
simple_iter,shipyard,,,,89889379.0,ns,3549
simple_iter,shipyard,,,,91050894.0,ns,3588
simple_iter,shipyard,,,,91684391.0,ns,3627
simple_iter,shipyard,,,,92735535.0,ns,3666
simple_iter,shipyard,,,,93908904.0,ns,3705
simple_iter,shipyard,,,,94998530.0,ns,3744
simple_iter,shipyard,,,,185135100.0,ns,3783
simple_iter,shipyard,,,,101943853.0,ns,3822
simple_iter,shipyard,,,,98388103.0,ns,3861
simple_iter,shipyard,,,,99708091.0,ns,3900
