group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,1018300.0,ns,29
simple_iter,specs,,,,2011800.0,ns,58
simple_iter,specs,,,,3038700.0,ns,87
simple_iter,specs,,,,3953200.0,ns,116
simple_iter,specs,,,,4966000.0,ns,145
simple_iter,specs,,,,6025500.0,ns,174
simple_iter,specs,,,,6938300.0,ns,203
simple_iter,specs,,,,8021400.0,ns,232
simple_iter,specs,,,,8919600.0,ns,261
simple_iter,specs,,,,9947200.0,ns,290
simple_iter,specs,,,,10887800.0,ns,319
simple_iter,specs,,,,11917500.0,ns,348
simple_iter,specs,,,,12938700.0,ns,377
simple_iter,specs,,,,13907800.0,ns,406
simple_iter,specs,,,,14967200.0,ns,435
simple_iter,specs,,,,15859500.0,ns,464
simple_iter,specs,,,,17063300.0,ns,493
simple_iter,specs,,,,18370700.0,ns,522
simple_iter,specs,,,,18851700.0,ns,551
simple_iter,specs,,,,19827100.0,ns,580
simple_iter,specs,,,,20791800.0,ns,609
simple_iter,specs,,,,21734400.0,ns,638
simple_iter,specs,,,,22746300.0,ns,667
simple_iter,specs,,,,23855400.0,ns,696
simple_iter,specs,,,,24730700.0,ns,725
simple_iter,specs,,,,25698900.0,ns,754
simple_iter,specs,,,,26641200.0,ns,783
simple_iter,specs,,,,27671600.0,ns,812
simple_iter,specs,,,,28651100.0,ns,841
simple_iter,specs,,,,29640300.0,ns,870
simple_iter,specs,,,,30667400.0,ns,899
simple_iter,specs,,,,31618000.0,ns,928
simple_iter,specs,,,,32653500.0,ns,957
simple_iter,specs,,,,33679800.0,ns,986
simple_iter,specs,,,,34607900.0,ns,1015
simple_iter,specs,,,,35870100.0,ns,1044
simple_iter,specs,,,,36912200.0,ns,1073
simple_iter,specs,,,,38021500.0,ns,1102
simple_iter,specs,,,,39368300.0,ns,1131
simple_iter,specs,,,,40046600.0,ns,1160
simple_iter,specs,,,,41033200.0,ns,1189
simple_iter,specs,,,,42186500.0,ns,1218
simple_iter,specs,,,,43118000.0,ns,1247
simple_iter,specs,,,,43567600.0,ns,1276
simple_iter,specs,,,,44692600.0,ns,1305
simple_iter,specs,,,,45964900.0,ns,1334
simple_iter,specs,,,,46947300.0,ns,1363
simple_iter,specs,,,,57956200.0,ns,1392
simple_iter,specs,,,,49332900.0,ns,1421
simple_iter,specs,,,,49716400.0,ns,1450
simple_iter,specs,,,,50479000.0,ns,1479
simple_iter,specs,,,,51565800.0,ns,1508
simple_iter,specs,,,,52566500.0,ns,1537
simple_iter,specs,,,,53515300.0,ns,1566
simple_iter,specs,,,,54573000.0,ns,1595
simple_iter,specs,,,,55963100.0,ns,1624
simple_iter,specs,,,,57924800.0,ns,1653
simple_iter,specs,,,,58117200.0,ns,1682
simple_iter,specs,,,,59028900.0,ns,1711
simple_iter,specs,,,,60333700.0,ns,1740
simple_iter,specs,,,,61229300.0,ns,1769
simple_iter,specs,,,,62403300.0,ns,1798
simple_iter,specs,,,,62518400.0,ns,1827
simple_iter,specs,,,,63455300.0,ns,1856
simple_iter,specs,,,,64155500.0,ns,1885
simple_iter,specs,,,,65341500.0,ns,1914
simple_iter,specs,,,,66190200.0,ns,1943
simple_iter,specs,,,,67213600.0,ns,1972
simple_iter,specs,,,,68126900.0,ns,2001
simple_iter,specs,,,,69359700.0,ns,2030
simple_iter,specs,,,,70287800.0,ns,2059
simple_iter,specs,,,,77540800.0,ns,2088
simple_iter,specs,,,,72863700.0,ns,2117
simple_iter,specs,,,,74099000.0,ns,2146
simple_iter,specs,,,,75363800.0,ns,2175
simple_iter,specs,,,,75262300.0,ns,2204
simple_iter,specs,,,,76251600.0,ns,2233
simple_iter,specs,,,,76986000.0,ns,2262
simple_iter,specs,,,,78147200.0,ns,2291
simple_iter,specs,,,,79278400.0,ns,2320
simple_iter,specs,,,,80057800.0,ns,2349
simple_iter,specs,,,,81184100.0,ns,2378
simple_iter,specs,,,,82755200.0,ns,2407
simple_iter,specs,,,,84027000.0,ns,2436
simple_iter,specs,,,,84893000.0,ns,2465
simple_iter,specs,,,,86392500.0,ns,2494
simple_iter,specs,,,,87576400.0,ns,2523
simple_iter,specs,,,,87194300.0,ns,2552
simple_iter,specs,,,,88257900.0,ns,2581
simple_iter,specs,,,,88872600.0,ns,2610
simple_iter,specs,,,,90214200.0,ns,2639
simple_iter,specs,,,,91202400.0,ns,2668
simple_iter,specs,,,,92611000.0,ns,2697
simple_iter,specs,,,,93511200.0,ns,2726
simple_iter,specs,,,,94815000.0,ns,2755
simple_iter,specs,,,,95946100.0,ns,2784
simple_iter,specs,,,,98713300.0,ns,2813
simple_iter,specs,,,,98747400.0,ns,2842
simple_iter,specs,,,,98229300.0,ns,2871
simple_iter,specs,,,,99419900.0,ns,2900
