group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,971180.0,ns,39
simple_iter,specs,,,,1956257.0,ns,78
simple_iter,specs,,,,2912238.0,ns,117
simple_iter,specs,,,,3897646.0,ns,156
simple_iter,specs,,,,4865307.0,ns,195
simple_iter,specs,,,,5823504.0,ns,234
simple_iter,specs,,,,6859798.0,ns,273
simple_iter,specs,,,,7777948.0,ns,312
simple_iter,specs,,,,8804232.0,ns,351
simple_iter,specs,,,,10182448.0,ns,390
simple_iter,specs,,,,10713379.0,ns,429
simple_iter,specs,,,,11702804.0,ns,468
simple_iter,specs,,,,12674244.0,ns,507
simple_iter,specs,,,,13662147.0,ns,546
simple_iter,specs,,,,14617696.0,ns,585
simple_iter,specs,,,,15578517.0,ns,624
simple_iter,specs,,,,16555910.0,ns,663
simple_iter,specs,,,,17613103.0,ns,702
simple_iter,specs,,,,18523778.0,ns,741
simple_iter,specs,,,,19537118.0,ns,780
simple_iter,specs,,,,20486046.0,ns,819
simple_iter,specs,,,,21430245.0,ns,858
simple_iter,specs,,,,22436342.0,ns,897
simple_iter,specs,,,,23374129.0,ns,936
simple_iter,specs,,,,24342643.0,ns,975
simple_iter,specs,,,,25541787.0,ns,1014
simple_iter,specs,,,,26306585.0,ns,1053
simple_iter,specs,,,,27300879.0,ns,1092
simple_iter,specs,,,,28245958.0,ns,1131
simple_iter,specs,,,,29299497.0,ns,1170
simple_iter,specs,,,,30204901.0,ns,1209
simple_iter,specs,,,,31930086.0,ns,1248
simple_iter,specs,,,,32147481.0,ns,1287
simple_iter,specs,,,,33301931.0,ns,1326
simple_iter,specs,,,,34066617.0,ns,1365
simple_iter,specs,,,,35028590.0,ns,1404
simple_iter,specs,,,,36106574.0,ns,1443
simple_iter,specs,,,,37030182.0,ns,1482
simple_iter,specs,,,,38067640.0,ns,1521
simple_iter,specs,,,,39353178.0,ns,1560
simple_iter,specs,,,,39997275.0,ns,1599
simple_iter,specs,,,,40932567.0,ns,1638
simple_iter,specs,,,,41990001.0,ns,1677
simple_iter,specs,,,,42893723.0,ns,1716
simple_iter,specs,,,,43888577.0,ns,1755
simple_iter,specs,,,,44947145.0,ns,1794
simple_iter,specs,,,,45787044.0,ns,1833
simple_iter,specs,,,,47077895.0,ns,1872
simple_iter,specs,,,,48941522.0,ns,1911
simple_iter,specs,,,,48726415.0,ns,1950
simple_iter,specs,,,,49750314.0,ns,1989
simple_iter,specs,,,,50675837.0,ns,2028
simple_iter,specs,,,,51640807.0,ns,2067
simple_iter,specs,,,,53004363.0,ns,2106
simple_iter,specs,,,,54380937.0,ns,2145
simple_iter,specs,,,,54550780.0,ns,2184
simple_iter,specs,,,,55681993.0,ns,2223
simple_iter,specs,,,,56578744.0,ns,2262
simple_iter,specs,,,,57451124.0,ns,2301
simple_iter,specs,,,,58549348.0,ns,2340
simple_iter,specs,,,,59397943.0,ns,2379
simple_iter,specs,,,,60567150.0,ns,2418
simple_iter,specs,,,,61543170.0,ns,2457
simple_iter,specs,,,,62326213.0,ns,2496
simple_iter,specs,,,,63488286.0,ns,2535
simple_iter,specs,,,,64355347.0,ns,2574
simple_iter,specs,,,,65325004.0,ns,2613
simple_iter,specs,,,,66283923.0,ns,2652
simple_iter,specs,,,,68103157.0,ns,2691
simple_iter,specs,,,,68221332.0,ns,2730
simple_iter,specs,,,,70032853.0,ns,2769
simple_iter,specs,,,,70398269.0,ns,2808
simple_iter,specs,,,,73583146.0,ns,2847
simple_iter,specs,,,,73134713.0,ns,2886
simple_iter,specs,,,,73032267.0,ns,2925
simple_iter,specs,,,,74097766.0,ns,2964
simple_iter,specs,,,,74998413.0,ns,3003
simple_iter,specs,,,,76042431.0,ns,3042
simple_iter,specs,,,,76957134.0,ns,3081
simple_iter,specs,,,,77913385.0,ns,3120
simple_iter,specs,,,,78967074.0,ns,3159
simple_iter,specs,,,,79992466.0,ns,3198
simple_iter,specs,,,,80908962.0,ns,3237
simple_iter,specs,,,,82537505.0,ns,3276
simple_iter,specs,,,,82777352.0,ns,3315
simple_iter,specs,,,,83712513.0,ns,3354
simple_iter,specs,,,,84739940.0,ns,3393
simple_iter,specs,,,,85709006.0,ns,3432
simple_iter,specs,,,,86929611.0,ns,3471
simple_iter,specs,,,,87609268.0,ns,3510
simple_iter,specs,,,,88718669.0,ns,3549
simple_iter,specs,,,,89746097.0,ns,3588
simple_iter,specs,,,,90573113.0,ns,3627
simple_iter,specs,,,,91626329.0,ns,3666
simple_iter,specs,,,,93859312.0,ns,3705
simple_iter,specs,,,,93474730.0,ns,3744
simple_iter,specs,,,,94473704.0,ns,3783
simple_iter,specs,,,,95402393.0,ns,3822
simple_iter,specs,,,,96373771.0,ns,3861
simple_iter,specs,,,,99125795.0,ns,3900
